repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,pauli,10,median_of_means,6,10,-6.749999999999997,-1.7778640450004204,1.7778640450004204
0,pauli,10,median_of_means,6,30,-10.574999999999989,-5.602864045000412,5.602864045000412
0,pauli,10,median_of_means,6,100,-9.281249999999991,-4.309114045000414,4.309114045000414
0,pauli,10,median_of_means,6,300,-10.732499999999995,-5.760364045000418,5.760364045000418
0,pauli,10,median_of_means,6,1000,-5.231927710843371,-0.25979175584379366,0.25979175584379366
0,pauli,10,median_of_means,6,3000,-5.273999999999997,-0.3018640450004204,0.3018640450004204
0,pauli,10,median_of_means,6,10000,-7.182848139255698,-2.2107121842561215,2.2107121842561215
0,pauli,10,median_of_means,6,20000,-4.367686768676865,0.6044491863227117,0.6044491863227117
0,pauli,10,median_of_means,6,30000,-4.633874999999998,0.338260954999579,0.338260954999579
0,pauli,10,median_of_means,6,40000,-5.469734473447342,-0.4975985184477647,0.4975985184477647
0,pauli,10,median_of_means,6,50000,-6.042166686667464,-1.0700307316678872,1.0700307316678872
0,pauli,10,median_of_means,6,60000,-5.727937499999998,-0.7558015450004207,0.7558015450004207
0,pauli,10,median_of_means,6,70000,-5.016211640665178,-0.04407568566560105,0.04407568566560105
0,pauli,10,median_of_means,6,80000,-4.898934973374331,0.07320098162524591,0.07320098162524591
0,pauli,10,median_of_means,6,90000,-4.708499999999998,0.2636359549995788,0.2636359549995788
0,pauli,10,median_of_means,6,100000,-4.668824252970115,0.303311702029462,0.303311702029462
0,clifford,10,median_of_means,6,10,-2.222614453595284e-15,4.972135954999574,4.972135954999574
0,clifford,10,median_of_means,6,30,-2.0495273447410654e-14,4.9721359549995565,4.9721359549995565
0,clifford,10,median_of_means,6,100,-16.015624999999925,-11.04348904500035,11.04348904500035
0,clifford,10,median_of_means,6,300,-7.687499999999969,-2.715364045000392,2.715364045000392
0,clifford,10,median_of_means,6,1000,-7.71837349397587,-2.7462375389762927,2.7462375389762927
0,clifford,10,median_of_means,6,3000,-7.943749999999968,-2.9716140450003907,2.9716140450003907
0,clifford,10,median_of_means,6,10000,-5.998649459783892,-1.0265135047843152,1.0265135047843152
0,clifford,10,median_of_means,6,20000,-6.189056405640541,-1.2169204506409637,1.2169204506409637
0,clifford,10,median_of_means,6,30000,-5.3556249999999785,-0.3834890450004016,0.3834890450004016
0,clifford,10,median_of_means,6,40000,-5.38178817881786,-0.40965222381828337,0.40965222381828337
0,clifford,10,median_of_means,6,50000,-4.766440657626287,0.20569529737328995,0.20569529737328995
0,clifford,10,median_of_means,6,60000,-4.586874999999983,0.3852609549995938,0.3852609549995938
0,clifford,10,median_of_means,6,70000,-4.6237463569346655,0.34838959806491143,0.34838959806491143
0,clifford,10,median_of_means,6,80000,-4.631834545863629,0.34030140913594753,0.34030140913594753
0,clifford,10,median_of_means,6,90000,-4.8943749999999815,0.07776095499959546,0.07776095499959546
