ensemble,n_sample,abs_error_mean,abs_error_std,num_repeats
clifford,10,4.972135954999575,5.387186419006763e-15,20
clifford,30,6.540208763999648,4.826426269582299,20
clifford,100,6.5030729704999315,3.3760444000430705,20
clifford,300,4.499661404500023,3.6734111479819878,20
clifford,1000,1.6549696195963388,1.0942273432887577,20
clifford,3000,1.7119271909999128,1.2443831934144356,20
clifford,10000,0.6394892557640632,0.528980256444148,20
clifford,20000,0.4945730831679058,0.3410329775481176,20
clifford,30000,0.3355103090000799,0.21825552278765672,20
clifford,40000,0.3223054796883772,0.2576386516700378,20
clifford,50000,0.30636841864902403,0.20513222149120172,20
clifford,60000,0.24571375699983725,0.174662033188908,20
clifford,70000,0.28408517617928764,0.18560582763525546,20
clifford,80000,0.2576821964451984,0.15902706466329114,20
clifford,90000,0.2579742274997967,0.1843150217584841,20
clifford,100000,0.2696730717035648,0.15297891658476315,20
pauli,10,3.638177190999914,2.809733091267205,20
pauli,30,3.4828907864998713,2.2891307812951474,20
pauli,100,2.9817711024997875,1.9370287542441667,20
pauli,300,1.9315521909999145,1.4579115787706327,20
pauli,1000,1.5867464681083487,1.2172411559250171,20
pauli,3000,1.2585771909999153,1.1101345146943682,20
pauli,10000,0.9691045619482945,0.8009627566972176,20
pauli,20000,0.714757229161284,0.40958748809644524,20
pauli,30000,0.46272109549995777,0.33820343941667985,20
pauli,40000,0.5112307463554513,0.4795078714703472,20
pauli,50000,0.4982284721827491,0.3434896868308193,20
pauli,60000,0.5009089045000421,0.2986158753508505,20
pauli,70000,0.4292532693121018,0.29314981302550147,20
pauli,80000,0.37167733209337284,0.27010253914829424,20
pauli,90000,0.3521512499999997,0.24247125899544567,20
pauli,100000,0.3157011710907057,0.17382094242637686,20
seeqst_binomial_q0.09091,10,4.972135954999577,0.0,20
seeqst_binomial_q0.09091,30,4.972135954999577,0.0,20
seeqst_binomial_q0.09091,100,6.1335183124531065,4.13267883299921,20
seeqst_binomial_q0.09091,300,2.874651603034665,2.271706380734254,20
seeqst_binomial_q0.09091,1000,1.63002280260728,1.5154243017335998,20
seeqst_binomial_q0.09091,3000,0.916614917187578,0.699514367883263,20
seeqst_binomial_q0.09091,10000,0.6237315254460799,0.427917273118195,20
seeqst_binomial_q0.09091,20000,0.3257334947745382,0.2724575172980891,20
seeqst_binomial_q0.09091,30000,0.2588623317099213,0.18840815157942953,20
seeqst_binomial_q0.09091,40000,0.301552716294437,0.22144077598066364,20
seeqst_binomial_q0.09091,50000,0.2607349920804111,0.16053990720089678,20
seeqst_binomial_q0.09091,60000,0.2626164241166388,0.17277016603454173,20
seeqst_binomial_q0.09091,70000,0.15918535515566584,0.10864605568476866,20
seeqst_binomial_q0.09091,80000,0.19988527548732876,0.1780137098128814,20
seeqst_binomial_q0.09091,90000,0.22341451808430066,0.14291458101306012,20
seeqst_binomial_q0.09091,100000,0.20115277391584904,0.13099893417047134,20
seeqst_binomial_q0.5,10,4.972135954999577,0.0,20
seeqst_binomial_q0.5,30,4.972135954999577,0.0,20
seeqst_binomial_q0.5,100,6.074922359499619,4.9318107302493495,20
seeqst_binomial_q0.5,300,5.0460679774997885,0.13138065167538096,20
seeqst_binomial_q0.5,1000,2.96468347501803,2.2003020028774083,20
seeqst_binomial_q0.5,3000,1.3971864045000424,1.0096686298990818,20
seeqst_binomial_q0.5,10000,1.0042964286332112,0.6948610816408014,20
seeqst_binomial_q0.5,20000,0.622142214221422,0.46270877171705355,20
seeqst_binomial_q0.5,30000,0.6309071909999154,0.48409750516184125,20
seeqst_binomial_q0.5,40000,0.43239161674045085,0.38687466085259314,20
seeqst_binomial_q0.5,50000,0.42702508100323994,0.3224852226928876,20
seeqst_binomial_q0.5,60000,0.4408935954999576,0.30042369766152155,20
seeqst_binomial_q0.5,70000,0.41127260371142604,0.26945864902220223,20
seeqst_binomial_q0.5,80000,0.4242517714543565,0.22102819826973116,20
seeqst_binomial_q0.5,90000,0.4170002621666242,0.24224592663042457,20
seeqst_binomial_q0.5,100000,0.4070562822512901,0.21785112670043874,20
seeqst_binomial_tuned,10,4.972135954999577,0.0,20
seeqst_binomial_tuned,30,6.708571871461659,4.632552036530725,20
seeqst_binomial_tuned,100,4.285608510346308,2.856933698717647,20
seeqst_binomial_tuned,300,2.358334077615807,1.9067738728592538,20
seeqst_binomial_tuned,1000,1.1823990677398772,0.8098095767241593,20
seeqst_binomial_tuned,3000,0.6944286626290237,0.7404482635485298,20
seeqst_binomial_tuned,10000,0.5425583065317283,0.40924910547195936,20
seeqst_binomial_tuned,20000,0.3244574631210136,0.23051515567903672,20
seeqst_binomial_tuned,30000,0.24907471062667116,0.17799760230614414,20
seeqst_binomial_tuned,40000,0.2404676517202228,0.13884286892020395,20
seeqst_binomial_tuned,50000,0.18060929804135523,0.1221391597363632,20
seeqst_binomial_tuned,60000,0.11745930374625795,0.09709648678303134,20
seeqst_binomial_tuned,70000,0.14751134129025317,0.09479965513901915,20
seeqst_binomial_tuned,80000,0.11943049725526925,0.10616546133184575,20
seeqst_binomial_tuned,90000,0.10303181392838963,0.08596990563793061,20
seeqst_binomial_tuned,100000,0.09736651933915703,0.05595914180676896,20
seeqst_uniform,10,4.972135954999577,0.0,20
seeqst_uniform,30,4.972135954999577,0.0,20
seeqst_uniform,100,7.67492235949962,8.473966493769538,20
seeqst_uniform,300,5.558067977499789,2.2760601788392107,20
seeqst_uniform,1000,2.7067776282771936,2.169411311202467,20
seeqst_uniform,3000,1.6099320225002116,1.7829545880986597,20
seeqst_uniform,10000,1.035028721550378,0.7672679990962847,20
seeqst_uniform,20000,0.867926792679268,0.47365310665163884,20
seeqst_uniform,30000,0.5842535954999576,0.3854558576628612,20
seeqst_uniform,40000,0.649024902490249,0.3090362639230432,20
seeqst_uniform,50000,0.5811015371053465,0.4280888664258685,20
seeqst_uniform,60000,0.5023335954999577,0.3365444335317508,20
seeqst_uniform,70000,0.390605177438711,0.37607827293421847,20
seeqst_uniform,80000,0.48161670105780746,0.2896880199767509,20
seeqst_uniform,90000,0.379467715333164,0.2957362475714164,20
seeqst_uniform,100000,0.3759898674192475,0.23979707052478974,20
