state_type,ensemble,n_sample,rmse_mean,rmse_std,max_error_mean,max_error_std,num_state_repeats,num_observable_repeats
ghz,clifford,10,2.539961874234396,1.5486485763151026,6.499999999999987,4.110960958218885,2,3
ghz,clifford,30,1.3758732201946184,0.5131933927298155,3.2499999999999933,1.8127633908238265,2,3
ghz,clifford,100,0.7934430463371503,0.11613681011231614,1.5166666666666633,0.33565855667130856,2,3
ghz,clifford,300,0.4178260991626542,0.08595902723714569,0.8666666666666649,0.2373464415855716,2,3
ghz,clifford,1000,0.24700677401713364,0.05853788779566713,0.4441666666666659,0.11926511085253147,2,3
ghz,clifford,3000,0.1491511776773107,0.03711454182316167,0.2888888888888883,0.09944661698433785,2,3
ghz,pauli,10,1.0664156660801729e-16,2.612174235606674e-16,3.372302437298913e-16,8.2604202297264e-16,2,3
ghz,pauli,30,3.0576299364909225,3.876219679761375,9.449999999999992,11.922877169542582,2,3
ghz,pauli,100,2.375236871353974,1.9032928744553972,6.479999999999996,5.019386416684808,2,3
ghz,pauli,300,1.554867805782317,0.741585684766106,2.9699999999999975,1.5927711700052822,2,3
ghz,pauli,1000,0.6694338700489757,0.22960825846972582,1.4984999999999988,0.6595409767406413,2,3
ghz,pauli,3000,0.37451868319114934,0.11182158614919034,0.7424999999999996,0.2011454697476429,2,3
ghz,seeqst_binomial_tuned,10,1.5301203623340403,1.283950246798097,2.985984,2.670745281490693,2,3
ghz,seeqst_binomial_tuned,30,1.11429551958809,0.36705072029468994,1.9906560000000002,0.6295006997880146,2,3
ghz,seeqst_binomial_tuned,100,0.6358604214506786,0.0835857288226278,1.2441600000000002,0.2247767096626872,2,3
ghz,seeqst_binomial_tuned,300,0.40592495338087264,0.0784309606218797,0.7796736000000001,0.29132124404117193,2,3
ghz,seeqst_binomial_tuned,1000,0.19800859125180761,0.06228870771663006,0.3981312000000001,0.13174473628677424,2,3
ghz,seeqst_binomial_tuned,3000,0.08406466002932002,0.013203068687227175,0.16091136000000003,0.030462023874058004,2,3
ghz,seeqst_binomial_untuned,10,0.0,0.0,0.0,0.0,2,3
ghz,seeqst_binomial_untuned,30,0.0,0.0,0.0,0.0,2,3
ghz,seeqst_binomial_untuned,100,0.0,0.0,0.0,0.0,2,3
ghz,seeqst_binomial_untuned,300,0.0,0.0,0.0,0.0,2,3
ghz,seeqst_binomial_untuned,1000,0.0,0.0,0.0,0.0,2,3
ghz,seeqst_binomial_untuned,3000,0.0,0.0,0.0,0.0,2,3
ghz,seeqst_uniform,10,1.6286749045691646,2.5782361540929393,4.266666666666667,6.609891577527325,2,3
ghz,seeqst_uniform,30,1.7932934229608646,0.3819636327926319,4.266666666666667,0.0,2,3
ghz,seeqst_uniform,100,1.1759628989706956,0.21087795592077688,2.3466666666666667,0.5225578117937447,2,3
ghz,seeqst_uniform,300,0.6471265642764338,0.1593786079065296,1.28,0.46738991573774175,2,3
ghz,seeqst_uniform,1000,0.3709458438116305,0.036612254105051804,0.6826666666666666,0.06609891577527324,2,3
ghz,seeqst_uniform,3000,0.24238923194693787,0.061112001504227464,0.4693333333333333,0.10793907746708067,2,3
ghz,seeqst_unifsize_tuned,10,2.2768399153212333,0.0,7.2,0.0,2,3
ghz,seeqst_unifsize_tuned,30,1.2793795158989407,0.3307955035332719,2.4,0.0,2,3
ghz,seeqst_unifsize_tuned,100,0.8118689333799831,0.13321637292366922,1.32,0.29393876913398137,2,3
ghz,seeqst_unifsize_tuned,300,0.4002214607036137,0.09688828035794067,0.68,0.1806654366501794,2,3
ghz,seeqst_unifsize_tuned,1000,0.23022698486307655,0.05243894096020691,0.42,0.10598113039593415,2,3
ghz,seeqst_unifsize_tuned,3000,0.1297462720971848,0.028080702488718783,0.24,0.04293250516799595,2,3
haar_random,clifford,10,1.9079338457485064,1.5770214435933092,5.5311506654639,4.833177761688069,2,3
haar_random,clifford,30,1.818467184360058,0.34462962249739426,3.672450620894999,1.7193254370976772,2,3
haar_random,clifford,100,1.020867645241879,0.16637230365970734,2.0996495223593015,0.4708046187096932,2,3
haar_random,clifford,300,0.49044559571674834,0.07655577694366571,0.9908454829543819,0.2835865879301744,2,3
haar_random,clifford,1000,0.27924156977285264,0.06896241160026716,0.5228340508612779,0.22784053898499076,2,3
haar_random,clifford,3000,0.1671472173626407,0.016421013032567097,0.3839249466761421,0.04791048698474601,2,3
haar_random,pauli,10,11.877721063881685,13.195048419807245,32.48674909490306,33.22361333394704,2,3
haar_random,pauli,30,5.364387063737513,4.255476430655561,14.894991973589095,10.765047865591871,2,3
haar_random,pauli,100,2.3685856316179374,0.8844688666126581,6.104346459090099,2.049363016229072,2,3
haar_random,pauli,300,1.1756690532177714,0.42929400823983827,2.7549503439273395,1.0165918448278173,2,3
haar_random,pauli,1000,0.6370267890813889,0.2123653512303655,1.4281631000763229,0.5416382670124228,2,3
haar_random,pauli,3000,0.37217702281206294,0.13415050527415084,0.7211191847609096,0.35571729243198563,2,3
haar_random,seeqst_binomial_tuned,10,1.6289625897770144,0.9917169860887033,3.4857745274345473,2.179681773857665,2,3
haar_random,seeqst_binomial_tuned,30,1.0239072679152248,0.2864609004750207,2.1765037196548698,0.7067827735820064,2,3
haar_random,seeqst_binomial_tuned,100,0.6823262243248259,0.22987884250859203,1.5745022917686347,0.6596600708644408,2,3
haar_random,seeqst_binomial_tuned,300,0.34089638222999513,0.04048939521781278,0.6494698306893967,0.14293720141758537,2,3
haar_random,seeqst_binomial_tuned,1000,0.18230428760140938,0.034466874396388736,0.33775962889827915,0.0772275438694872,2,3
haar_random,seeqst_binomial_tuned,3000,0.09546318237458284,0.016012131992620474,0.21370785897484598,0.07034230289603252,2,3
haar_random,seeqst_binomial_untuned,10,0.10281345221638132,0.013729768220895312,0.17505274539914592,0.030260004786823006,2,3
haar_random,seeqst_binomial_untuned,30,0.10281345221638132,0.013729768220895312,0.17505274539914592,0.030260004786823006,2,3
