repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,seeqst_binomial_q0.5,10,mean,1,100,-30.72,-25.747864045000423,25.747864045000423
0,seeqst_binomial_q0.5,10,mean,1,300,-17.066666666666666,-12.09453071166709,12.09453071166709
0,seeqst_binomial_q0.5,10,mean,1,1000,-9.216,-4.243864045000422,4.243864045000422
0,seeqst_binomial_q0.5,10,mean,1,3000,-4.096,0.8761359549995769,0.8761359549995769
0,seeqst_binomial_q0.5,10,mean,1,5000,-4.9152,0.056935954999577376,0.056935954999577376
0,seeqst_binomial_q0.5,10,mean,1,10000,-5.12,-0.14786404500042316,0.14786404500042316
0,seeqst_binomial_q0.5,10,mean,1,15000,-5.5978666666666665,-0.6257307116670896,0.6257307116670896
0,seeqst_binomial_q0.5,10,mean,1,20000,-5.7344,-0.762264045000423,0.762264045000423
0,seeqst_binomial_q0.5,10,mean,1,25000,-5.28384,-0.3117040450004227,0.3117040450004227
0,seeqst_binomial_q0.5,10,mean,1,30000,-4.983466666666667,-0.011330711667089766,0.011330711667089766
0,seeqst_binomial_q0.5,10,mean,1,35000,-4.476342857142857,0.49579309785672,0.49579309785672
0,seeqst_binomial_q0.5,10,mean,1,40000,-4.6336,0.33853595499957656,0.33853595499957656
0,seeqst_binomial_q0.5,10,mean,1,45000,-4.778666666666667,0.19346928833290988,0.19346928833290988
0,seeqst_binomial_q0.5,10,mean,1,50000,-4.79232,0.1798159549995768,0.1798159549995768
0,seeqst_binomial_tuned,10,mean,1,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_tuned,10,mean,1,30,-4.967053731282551,0.0050822237170260465,0.0050822237170260465
0,seeqst_binomial_tuned,10,mean,1,100,-1.4901161193847654,3.4820198356148113,3.4820198356148113
0,seeqst_binomial_tuned,10,mean,1,300,-5.463759104410807,-0.49162314941122975,0.49162314941122975
0,seeqst_binomial_tuned,10,mean,1,1000,-4.917383193969726,0.05475276102985127,0.05475276102985127
0,seeqst_binomial_tuned,10,mean,1,3000,-5.4140885670979815,-0.44195261209840453,0.44195261209840453
0,seeqst_binomial_tuned,10,mean,1,5000,-4.976987838745116,-0.004851883745539354,0.004851883745539354
0,seeqst_binomial_tuned,10,mean,1,10000,-5.021691322326659,-0.04955536732708232,0.04955536732708232
0,seeqst_binomial_tuned,10,mean,1,15000,-4.986921946207682,-0.014785991208104754,0.014785991208104754
0,seeqst_binomial_tuned,10,mean,1,20000,-4.947185516357421,0.02495043864215596,0.02495043864215596
0,seeqst_binomial_tuned,10,mean,1,25000,-5.012750625610351,-0.04061467061077373,0.04061467061077373
0,seeqst_binomial_tuned,10,mean,1,30000,-4.90744908650716,0.06468686849241667,0.06468686849241667
0,seeqst_binomial_tuned,10,mean,1,35000,-4.951442990984234,0.020692964015342596,0.020692964015342596
0,seeqst_binomial_tuned,10,mean,1,40000,-5.021691322326659,-0.04955536732708232,0.04955536732708232
0,seeqst_binomial_tuned,10,mean,1,45000,-5.1524904039171,-0.18035444891752306,0.18035444891752306
0,seeqst_binomial_tuned,10,mean,1,50000,-5.170702934265136,-0.19856697926555889,0.19856697926555889
1,pauli,10,mean,1,10,-4.724999999999997,0.24713595499957997,0.24713595499957997
1,pauli,10,mean,1,30,-16.04999999999999,-11.077864045000414,11.077864045000414
1,pauli,10,mean,1,100,-4.814999999999999,0.15713595499957833,0.15713595499957833
1,pauli,10,mean,1,300,-4.3575,0.614635954999577,0.614635954999577
1,pauli,10,mean,1,1000,-6.279749999999998,-1.3076140450004212,1.3076140450004212
1,pauli,10,mean,1,3000,-7.883249999999998,-2.9111140450004207,2.9111140450004207
1,pauli,10,mean,1,5000,-6.474149999999999,-1.502014045000422,1.502014045000422
1,pauli,10,mean,1,10000,-5.164649999999999,-0.19251404500042213,0.19251404500042213
1,pauli,10,mean,1,15000,-4.930049999999999,0.042085954999578234,0.042085954999578234
1,pauli,10,mean,1,20000,-4.7167875,0.25534845499957726,0.25534845499957726
1,pauli,10,mean,1,25000,-4.514759999999999,0.45737595499957795,0.45737595499957795
1,pauli,10,mean,1,30000,-4.527974999999999,0.4441609549995782,0.4441609549995782
1,pauli,10,mean,1,35000,-4.593407142857142,0.3787288121424348,0.3787288121424348
