ensemble,n_sample,abs_error_mean,abs_error_std,num_repeats
clifford,10,18.901354381999774,16.44721913087319,50
clifford,30,11.75944789513331,9.39489812348953,50
clifford,100,6.0084791236000115,4.330210936404114,50
clifford,300,3.4959687715333034,2.3668631727020024,50
clifford,1000,1.8410417527999288,1.525688395309659,50
clifford,3000,1.0572811423334132,0.700288341520691,50
clifford,5000,0.8579604381999834,0.6818641333862607,50
clifford,10000,0.6145938145999498,0.4731260900301253,50
clifford,15000,0.4912812284666833,0.40496650403874374,50
clifford,20000,0.4350688791998991,0.3337293974856878,50
clifford,25000,0.40279719099991573,0.27919476910769,50
clifford,30000,0.35438556739988214,0.25062271388009677,50
clifford,35000,0.3247337816855964,0.21501260321452972,50
clifford,40000,0.2990928159999157,0.22193537601180646,50
clifford,45000,0.2833049687776935,0.22269933363784544,50
clifford,50000,0.24303894379984808,0.2087474047592382,50
pauli,10,6.5951563145999454,5.638782702178698,50
pauli,30,7.918229123600027,12.173269773597912,50
pauli,100,4.829399999999997,4.835447255647756,50
pauli,300,4.729756314599947,7.4943343387360795,50
pauli,1000,2.511451314599948,2.844280344167941,50
pauli,3000,1.7662504381999824,1.394681697077496,50
pauli,5000,1.5465205618000162,1.1289754698602101,50
pauli,10000,0.9311386854000503,0.9135763233748255,50
pauli,15000,0.9299931236000336,0.7552346283988424,50
pauli,20000,0.7908874381999829,0.5825845134250712,50
pauli,25000,0.7212599999999998,0.48808827205858885,50
pauli,30000,0.6480824999999997,0.4363720498836987,50
pauli,35000,0.5962774189428739,0.4028092402673075,50
pauli,40000,0.5190370659999154,0.36359466477909996,50
pauli,45000,0.5152174381999829,0.3232449556822537,50
pauli,50000,0.46323449999999977,0.3182006029947349,50
seeqst_binomial_q0.09091,10,14.360910369456123,13.35563754270409,50
seeqst_binomial_q0.09091,30,8.922601462088512,6.067165374665976,50
seeqst_binomial_q0.09091,100,4.781100085789614,3.4650310298560383,50
seeqst_binomial_q0.09091,300,2.5072843783975407,2.070731962913455,50
seeqst_binomial_q0.09091,1000,1.6098813366637026,1.0373871568851292,50
seeqst_binomial_q0.09091,3000,0.9269261878923137,0.6753530435904839,50
seeqst_binomial_q0.09091,5000,0.7407728466934478,0.5826938491746246,50
seeqst_binomial_q0.09091,10000,0.5377237522350541,0.3573913821208976,50
seeqst_binomial_q0.09091,15000,0.3918598772545879,0.2767491952992288,50
seeqst_binomial_q0.09091,20000,0.30813660429686296,0.23686826150043352,50
seeqst_binomial_q0.09091,25000,0.29630913867738423,0.21452466325075303,50
seeqst_binomial_q0.09091,30000,0.26968551674585384,0.19506197950123597,50
seeqst_binomial_q0.09091,35000,0.2669331526400284,0.1953800943780562,50
seeqst_binomial_q0.09091,40000,0.2578726090784276,0.1823803900567671,50
seeqst_binomial_q0.09091,45000,0.23026063134759903,0.1638411048990401,50
seeqst_binomial_q0.09091,50000,0.2165365552525198,0.16324370267665225,50
seeqst_binomial_q0.5,10,14.615479640399629,35.25444948355888,50
seeqst_binomial_q0.5,30,13.621052449399713,15.90719386188693,50
seeqst_binomial_q0.5,100,8.981627190999916,7.173095763642258,50
seeqst_binomial_q0.5,300,4.283056314599949,2.726352876561265,50
seeqst_binomial_q0.5,1000,3.165749123600034,2.251110250792526,50
seeqst_binomial_q0.5,3000,1.6452266666666668,1.2737049043237478,50
seeqst_binomial_q0.5,5000,1.1227628763999662,0.9040787754110312,50
seeqst_binomial_q0.5,10000,0.8492316854000508,0.6974264166297894,50
seeqst_binomial_q0.5,15000,0.6635519999999999,0.4806943316936998,50
seeqst_binomial_q0.5,20000,0.6075676854000508,0.48664282406054005,50
seeqst_binomial_q0.5,25000,0.4970742381999831,0.4379514759008424,50
seeqst_binomial_q0.5,30000,0.4571572284666836,0.3672479754577142,50
seeqst_binomial_q0.5,35000,0.48619058105712587,0.37768789303124256,50
seeqst_binomial_q0.5,40000,0.43110399999999993,0.33063691224215774,50
seeqst_binomial_q0.5,45000,0.4009472409556063,0.31847802288642224,50
seeqst_binomial_q0.5,50000,0.3822876854000507,0.31996783013848595,50
seeqst_binomial_tuned,10,11.82301090309324,8.08217680747985,50
seeqst_binomial_tuned,30,6.161382805225855,5.071207291856423,50
seeqst_binomial_tuned,100,3.2496728739508747,2.6321715168629667,50
seeqst_binomial_tuned,300,1.828485639958022,1.3095474709233343,50
seeqst_binomial_tuned,1000,0.8895091957969388,0.6525686004851955,50
seeqst_binomial_tuned,3000,0.5902662382278995,0.49170139007829916,50
seeqst_binomial_tuned,5000,0.45317555524450115,0.3267383003447108,50
seeqst_binomial_tuned,10000,0.29106474185372777,0.23297514642750417,50
seeqst_binomial_tuned,15000,0.2316679928264479,0.18566011404769364,50
seeqst_binomial_tuned,20000,0.20658897828290074,0.1708169085542772,50
seeqst_binomial_tuned,25000,0.19326878119280713,0.14976273131237047,50
seeqst_binomial_tuned,30000,0.17469948907165256,0.12403766868736414,50
seeqst_binomial_tuned,35000,0.16011477829940085,0.11608901196630951,50
seeqst_binomial_tuned,40000,0.14533318664940548,0.10095391657405997,50
seeqst_binomial_tuned,45000,0.14547852663788827,0.10243145937982757,50
seeqst_binomial_tuned,50000,0.13984919907576798,0.10805842737714733,50
seeqst_uniform,10,22.40970876399966,46.80610618534729,50
seeqst_uniform,30,14.104833677866395,17.988945206108255,50
seeqst_uniform,100,9.017114561800017,6.865831986053403,50
seeqst_uniform,300,5.250618771533317,3.7473858261203117,50
seeqst_uniform,1000,3.8939363145999493,1.92090236875816,50
seeqst_uniform,3000,2.0452636854000508,1.40146816628646,50
seeqst_uniform,5000,1.4822931236000338,1.1868803624763868,50
seeqst_uniform,10000,1.0374182472000677,0.7291837426296336,50
seeqst_uniform,15000,0.8305758951333503,0.5676450832063726,50
seeqst_uniform,20000,0.6374931236000339,0.507072421640233,50
seeqst_uniform,25000,0.5711625618000169,0.5036921619085567,50
seeqst_uniform,30000,0.4824158951333502,0.43292241641437884,50
seeqst_uniform,35000,0.424939980742891,0.38424905618742117,50
seeqst_uniform,40000,0.39116799999999996,0.36306229964108766,50
seeqst_uniform,45000,0.3640888888888889,0.30446894836393595,50
seeqst_uniform,50000,0.34124607639996624,0.2880076540120392,50
