repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,pauli,10,median_of_means,6,10,-6.749999999999997,-1.7778640450004204,1.7778640450004204
0,pauli,10,median_of_means,6,30,-4.274999999999994,0.6971359549995828,0.6971359549995828
0,pauli,10,median_of_means,6,100,0.9843750000000002,5.956510954999577,5.956510954999577
0,pauli,10,median_of_means,6,300,-7.829999999999996,-2.8578640450004187,2.8578640450004187
0,pauli,10,median_of_means,6,1000,-5.24548192771084,-0.2733459727112635,0.2733459727112635
0,pauli,10,median_of_means,6,3000,-6.333749999999997,-1.3616140450004197,1.3616140450004197
0,pauli,10,median_of_means,6,5000,-5.277911164465783,-0.30577520946620584,0.30577520946620584
0,pauli,10,median_of_means,6,10000,-6.350915366146454,-1.3787794111468772,1.3787794111468772
0,pauli,10,median_of_means,6,15000,-5.6722499999999965,-0.7001140450004195,0.7001140450004195
0,pauli,10,median_of_means,6,20000,-5.1278127812781245,-0.1556768262785475,0.1556768262785475
0,pauli,10,median_of_means,6,25000,-5.6838694191070545,-0.7117334641074775,0.7117334641074775
0,pauli,10,median_of_means,6,30000,-5.847299999999997,-0.8751640450004201,0.8751640450004201
0,pauli,10,median_of_means,6,35000,-5.251992971026913,-0.2798570160273357,0.2798570160273357
0,pauli,10,median_of_means,6,40000,-5.600697569756972,-0.6285616147573947,0.6285616147573947
0,pauli,10,median_of_means,6,45000,-4.628849999999997,0.3432859549995797,0.3432859549995797
0,pauli,10,median_of_means,6,50000,-5.464073562942514,-0.49193760794293695,0.49193760794293695
0,clifford,10,median_of_means,6,10,-1.5946416783655817e-15,4.972135954999575,4.972135954999575
0,clifford,10,median_of_means,6,30,1.0774515751513e-15,4.972135954999578,4.972135954999578
0,clifford,10,median_of_means,6,100,8.007812499999952,12.97994845499953,12.97994845499953
0,clifford,10,median_of_means,6,300,-5.124999999999983,-0.15286404500040618,0.15286404500040618
0,clifford,10,median_of_means,6,1000,-4.631024096385524,0.34111185861405335,0.34111185861405335
0,clifford,10,median_of_means,6,3000,-3.8437499999999853,1.1283859549995916,1.1283859549995916
0,clifford,10,median_of_means,6,5000,-4.306722689075612,0.6654132659239647,0.6654132659239647
0,clifford,10,median_of_means,6,10000,-4.076005402160849,0.896130552838728,0.896130552838728
0,clifford,10,median_of_means,6,15000,-4.202499999999983,0.7696359549995941,0.7696359549995941
0,clifford,10,median_of_means,6,20000,-4.074782478247809,0.8973534767517677,0.8973534767517677
0,clifford,10,median_of_means,6,25000,-3.9058749399903845,1.0662610150091925,1.0662610150091925
0,clifford,10,median_of_means,6,30000,-4.279374999999984,0.692760954999593,0.692760954999593
0,clifford,10,median_of_means,6,35000,-4.656694668266743,0.3154412867328338,0.3154412867328338
0,clifford,10,median_of_means,6,40000,-4.8820507050704895,0.0900852499290874,0.0900852499290874
0,clifford,10,median_of_means,6,45000,-4.6466666666666505,0.32546928833292643,0.32546928833292643
0,clifford,10,median_of_means,6,50000,-4.997074882995301,-0.02493892799572439,0.02493892799572439
0,seeqst_uniform,10,median_of_means,6,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,median_of_means,6,30,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,median_of_means,6,100,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,median_of_means,6,300,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,median_of_means,6,1000,-6.168674698795181,-1.196538743795604,1.196538743795604
0,seeqst_uniform,10,median_of_means,6,3000,-4.096,0.8761359549995769,0.8761359549995769
0,seeqst_uniform,10,median_of_means,6,5000,-2.458583433373349,2.5135525216262278,2.5135525216262278
0,seeqst_uniform,10,median_of_means,6,10000,-6.453781512605042,-1.4816455576054652,1.4816455576054652
0,seeqst_uniform,10,median_of_means,6,15000,-5.5296,-0.5574640450004233,0.5574640450004233
0,seeqst_uniform,10,median_of_means,6,20000,-5.222922292229223,-0.2507863372296457,0.2507863372296457
0,seeqst_uniform,10,median_of_means,6,25000,-5.28468554968795,-0.31254959468837296,0.31254959468837296
0,seeqst_uniform,10,median_of_means,6,30000,-5.3248,-0.3526640450004228,0.3526640450004228
0,seeqst_uniform,10,median_of_means,6,35000,-5.178810217726728,-0.20667426272715073,0.20667426272715073
0,seeqst_uniform,10,median_of_means,6,40000,-4.762076207620762,0.21005974737881505,0.21005974737881505
0,seeqst_uniform,10,median_of_means,6,45000,-5.2565333333333335,-0.28439737833375656,0.28439737833375656
0,seeqst_uniform,10,median_of_means,6,50000,-5.3454938197527895,-0.37335786475321253,0.37335786475321253
0,seeqst_binomial_q0.09091,10,median_of_means,6,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.09091,10,median_of_means,6,30,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.09091,10,median_of_means,6,100,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.09091,10,median_of_means,6,300,5.187484920822496,10.159620875822073,10.159620875822073
0,seeqst_binomial_q0.09091,10,median_of_means,6,1000,-3.12499091615813,1.8471450388414468,1.8471450388414468
0,seeqst_binomial_q0.09091,10,median_of_means,6,3000,-3.112490952493498,1.859645002506079,1.859645002506079
0,seeqst_binomial_q0.09091,10,median_of_means,6,5000,-3.8921705588404087,1.0799653961591682,1.0799653961591682
0,seeqst_binomial_q0.09091,10,median_of_means,6,10000,-4.6706046706084905,0.30153128439108645,0.30153128439108645
0,seeqst_binomial_q0.09091,10,median_of_means,6,15000,-4.357487333490897,0.6146486215086799,0.6146486215086799
0,seeqst_binomial_q0.09091,10,median_of_means,6,20000,-3.813182735078043,1.1589532199215338,1.1589532199215338
0,seeqst_binomial_q0.09091,10,median_of_means,6,25000,-4.233665081804245,0.7384708731953316,0.7384708731953316
0,seeqst_binomial_q0.09091,10,median_of_means,6,30000,-4.305612484282672,0.6665234707169052,0.6665234707169052
0,seeqst_binomial_q0.09091,10,median_of_means,6,35000,-4.291036300868943,0.6810996541306338,0.6810996541306338
0,seeqst_binomial_q0.09091,10,median_of_means,6,40000,-4.416288167666917,0.5558477873326604,0.5558477873326604
0,seeqst_binomial_q0.09091,10,median_of_means,6,45000,-4.392070566296381,0.5800653887031961,0.5800653887031961
0,seeqst_binomial_q0.09091,10,median_of_means,6,50000,-4.451040103669849,0.5210958513297284,0.5210958513297284
0,seeqst_binomial_q0.5,10,median_of_means,6,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,median_of_means,6,30,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,median_of_means,6,100,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,median_of_means,6,300,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,median_of_means,6,1000,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,median_of_means,6,3000,-7.168,-2.195864045000423,2.195864045000423
0,seeqst_binomial_q0.5,10,median_of_means,6,5000,-5.531812725090036,-0.5596767700904595,0.5596767700904595
0,seeqst_binomial_q0.5,10,median_of_means,6,10000,-4.609843937575031,0.3622920174245463,0.3622920174245463
0,seeqst_binomial_q0.5,10,median_of_means,6,15000,-6.144,-1.1718640450004232,1.1718640450004232
0,seeqst_binomial_q0.5,10,median_of_means,6,20000,-6.298229822982298,-1.3260938679827214,1.3260938679827214
0,seeqst_binomial_q0.5,10,median_of_means,6,25000,-5.899183869419107,-0.9270479144195303,0.9270479144195303
