ensemble,n_sample,abs_error_mean,abs_error_std,num_repeats
seeqst_binomial_q0.5,3000,1.6006182472000676,1.3191846116996129,50
seeqst_binomial_q0.5,5000,1.1599317407457046,0.9899686520410885,50
seeqst_binomial_q0.5,10000,0.9320629411517578,0.7691976616997,50
seeqst_binomial_q0.5,15000,0.7850723145999493,0.6102925999811982,50
seeqst_binomial_q0.5,20000,0.6666906690669065,0.4931870826386577,50
seeqst_binomial_q0.5,25000,0.564702401973929,0.36209760759487053,50
seeqst_binomial_q0.5,30000,0.5431788763999663,0.4425836178531266,50
seeqst_binomial_q0.5,35000,0.502591935714127,0.4209471203449039,50
seeqst_binomial_q0.5,40000,0.4348243831259865,0.33412439174163466,50
seeqst_binomial_q0.5,45000,0.4728642097332994,0.34237762000446065,50
seeqst_binomial_q0.5,50000,0.4267869059113263,0.3155954237949686,50
seeqst_binomial_tuned,10,4.972135954999577,0.0,50
seeqst_binomial_tuned,30,5.66671032158441,2.4586620423183847,50
seeqst_binomial_tuned,100,4.224028561076978,3.074399379814993,50
seeqst_binomial_tuned,300,2.0776514823168735,1.704868998053327,50
seeqst_binomial_tuned,1000,1.3913734849677024,0.9299101371908153,50
seeqst_binomial_tuned,3000,0.7770504925212721,0.6309544476058603,50
seeqst_binomial_tuned,5000,0.4992666381552812,0.31278892634383504,50
seeqst_binomial_tuned,10000,0.4048530855603509,0.3106148963497368,50
seeqst_binomial_tuned,15000,0.2485513687133789,0.2117474079324692,50
seeqst_binomial_tuned,20000,0.2854889521361638,0.1786670894570539,50
seeqst_binomial_tuned,25000,0.2293512893674591,0.2022687534924666,50
seeqst_binomial_tuned,30000,0.21131228612704905,0.1680052422127007,50
seeqst_binomial_tuned,35000,0.2084578696070576,0.16258067349452826,50
seeqst_binomial_tuned,40000,0.20917589960598446,0.16471514357784295,50
seeqst_binomial_tuned,45000,0.18178495296608183,0.14709165216945966,50
seeqst_binomial_tuned,50000,0.17699961228008332,0.14622403159485822,50
seeqst_uniform,10,4.972135954999577,0.0,50
seeqst_uniform,30,4.972135954999577,0.0,50
seeqst_uniform,100,5.413250516799594,3.119150979289244,50
seeqst_uniform,300,5.651596134799763,2.517777742165751,50
seeqst_uniform,1000,2.7759036144578317,1.8553901176510026,50
seeqst_uniform,3000,2.1622291236000337,1.468851224588801,50
seeqst_uniform,5000,1.5063321849480886,1.2579150273334314,50
seeqst_uniform,10000,1.0611385714038586,0.7643586971038948,50
seeqst_uniform,15000,0.8642559999999999,0.6469680847241899,50
seeqst_uniform,20000,0.6136469143475978,0.5192932973354448,50
seeqst_uniform,25000,0.610218385352043,0.5103281197288175,50
seeqst_uniform,30000,0.5559257527999323,0.44741825820616804,50
seeqst_uniform,35000,0.49681467512429306,0.41579774169459943,50
seeqst_uniform,40000,0.5167763266011494,0.3748323933494148,50
seeqst_uniform,45000,0.5256533333333333,0.3788277676420611,50
seeqst_uniform,50000,0.47575274732743794,0.31619404767652537,50
