repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,seeqst_binomial_q0.09091,10,mean,1,30,8.645808201370828,13.617944156370406,13.617944156370406
0,seeqst_binomial_q0.09091,10,mean,1,100,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.09091,10,mean,1,300,-2.593742460411248,2.378393494588329,2.378393494588329
0,seeqst_binomial_q0.09091,10,mean,1,1000,-6.224981904986998,-1.252845949987421,1.252845949987421
0,seeqst_binomial_q0.09091,10,mean,1,3000,-6.916646561096654,-1.9445106060970767,1.9445106060970767
0,seeqst_binomial_q0.09091,10,mean,1,10000,-6.069357357362293,-1.0972214023627158,1.0972214023627158
0,seeqst_binomial_q0.09091,10,mean,1,20000,-5.148578783916353,-0.17644282891677587,0.17644282891677587
0,seeqst_binomial_q0.09091,10,mean,1,30000,-4.6341531959347915,0.3379827590647855,0.3379827590647855
0,seeqst_binomial_q0.09091,10,mean,1,40000,-4.662252072589198,0.3098838824103787,0.3098838824103787
0,seeqst_binomial_q0.09091,10,mean,1,50000,-4.808798521602401,0.1633374333971762,0.1633374333971762
0,seeqst_binomial_q0.09091,10,mean,1,60000,-4.776809031257311,0.19532692374226635,0.19532692374226635
0,seeqst_binomial_q0.09091,10,mean,1,70000,-4.820655629992819,0.1514803250067578,0.1514803250067578
0,seeqst_binomial_q0.09091,10,mean,1,80000,-4.88596235979959,0.08617359519998669,0.08617359519998669
0,seeqst_binomial_q0.09091,10,mean,1,90000,-4.881999697707288,0.09013625729228902,0.09013625729228902
0,seeqst_binomial_q0.09091,10,mean,1,100000,-4.881423310493856,0.0907126445057207,0.0907126445057207
0,seeqst_binomial_q0.5,10,mean,1,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,mean,1,30,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,mean,1,100,-10.24,-5.267864045000423,5.267864045000423
0,seeqst_binomial_q0.5,10,mean,1,300,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,mean,1,1000,-9.216,-4.243864045000422,4.243864045000422
0,seeqst_binomial_q0.5,10,mean,1,3000,-4.778666666666667,0.19346928833290988,0.19346928833290988
0,seeqst_binomial_q0.5,10,mean,1,10000,-4.7104,0.261735954999577,0.261735954999577
0,seeqst_binomial_q0.5,10,mean,1,20000,-5.9392,-0.9670640450004226,0.9670640450004226
0,seeqst_binomial_q0.5,10,mean,1,30000,-5.768533333333333,-0.7963973783337561,0.7963973783337561
