ensemble,n_sample,abs_error_mean,abs_error_std,num_repeats
seeqst_binomial_q0.09091,50000,0.18053814356636194,0.11483385750401141,20
seeqst_binomial_q0.09091,60000,0.1456591416346989,0.11703698704192816,20
seeqst_binomial_q0.09091,70000,0.1284780270395316,0.08681169867751913,20
seeqst_binomial_q0.09091,80000,0.13998533000254237,0.08530796156788197,20
seeqst_binomial_q0.09091,90000,0.14443431880616192,0.08564313792963975,20
seeqst_binomial_q0.09091,100000,0.13995290822178438,0.11172415071242114,20
seeqst_binomial_q0.5,10,4.972135954999577,0.0,20
seeqst_binomial_q0.5,30,8.600495168499704,8.861603353741105,20
seeqst_binomial_q0.5,100,8.659640786499875,5.030596291564776,20
seeqst_binomial_q0.5,300,5.12,3.135961085177363,20
seeqst_binomial_q0.5,1000,3.4895456180001694,1.7415615700970246,20
seeqst_binomial_q0.5,3000,1.6748135954999577,1.2291612074499518,20
seeqst_binomial_q0.5,10000,0.9523199999999999,0.6466583898429313,20
seeqst_binomial_q0.5,20000,0.7139320225002115,0.3924413507778682,20
seeqst_binomial_q0.5,30000,0.6359989513335025,0.41294241100232204,20
seeqst_binomial_q0.5,40000,0.49107921350012684,0.3976538127430788,20
seeqst_binomial_q0.5,50000,0.40992721350012695,0.39198112364143695,20
seeqst_binomial_q0.5,60000,0.3632402621666243,0.3194727474678975,20
seeqst_binomial_q0.5,70000,0.31842935792844446,0.2913838389302,20
seeqst_binomial_q0.5,80000,0.30457359549995766,0.3021122786028047,20
seeqst_binomial_q0.5,90000,0.24860915105551312,0.2513614422740108,20
seeqst_binomial_q0.5,100000,0.2355200000000001,0.29409928469326413,20
seeqst_binomial_tuned,10,9.935123907308506,8.371827057044868,20
seeqst_binomial_tuned,30,5.960464477539061,4.138802189487702,20
seeqst_binomial_tuned,100,3.003034617939133,2.246955706981607,20
seeqst_binomial_tuned,300,2.2600094477335606,1.5374287716863568,20
seeqst_binomial_tuned,1000,1.1473894119262693,0.7382954702012031,20
seeqst_binomial_tuned,3000,0.6715686984665494,0.40681248791346397,20
seeqst_binomial_tuned,10000,0.3700339859819758,0.21397815687433142,20
seeqst_binomial_tuned,20000,0.25902033508781075,0.15081846614769356,20
seeqst_binomial_tuned,30000,0.23117028319690544,0.1371069122016872,20
seeqst_binomial_tuned,40000,0.190514047770604,0.12325960617664966,20
seeqst_binomial_tuned,50000,0.1790774065543259,0.11664723741820068,20
seeqst_binomial_tuned,60000,0.14464240592645566,0.10957663326035347,20
seeqst_binomial_tuned,70000,0.13655849865504677,0.08175370634631501,20
seeqst_binomial_tuned,80000,0.10859221220016484,0.07568996135769994,20
seeqst_binomial_tuned,90000,0.11249225001497551,0.059389819293223595,20
seeqst_binomial_tuned,100000,0.11045575798514969,0.08074377428046817,20
seeqst_uniform,10,14.714922359499619,30.031022484808112,20
seeqst_uniform,30,13.223281572999747,17.227811767690064,20
seeqst_uniform,100,9.186427190999916,6.174451540975441,20
seeqst_uniform,300,4.578427190999916,3.1251920285610426,20
seeqst_uniform,1000,2.3552,1.7403915671194974,20
seeqst_uniform,3000,2.0605061423334177,1.5968916046823052,20
seeqst_uniform,10000,0.9119335954999578,0.7084469741879471,20
seeqst_uniform,20000,0.577720786499873,0.49211555489222714,20
seeqst_uniform,30000,0.5540930711667089,0.45440122649955145,20
seeqst_uniform,40000,0.4126007864998731,0.32517589482129466,20
seeqst_uniform,50000,0.38764559549995764,0.2824719989608765,20
seeqst_uniform,60000,0.34390745316653976,0.2173677902671327,20
seeqst_uniform,70000,0.30818935792844454,0.19702267096273188,20
seeqst_uniform,80000,0.25202719099991533,0.24313133064557044,20
seeqst_uniform,90000,0.2667994756667513,0.23409858755592844,20
seeqst_uniform,100000,0.24192961800016916,0.26344396447891044,20
