ensemble,n_sample,abs_error_mean,abs_error_std,num_repeats
clifford,10,21.808041752799888,18.411330269299395,50
clifford,30,11.87417701873335,8.791867201773435,50
clifford,100,5.948781056200131,4.471101267164107,50
clifford,300,3.875583161066788,2.649467446496414,50
clifford,1000,2.1686873708000936,1.7452012325396067,50
clifford,2000,1.5877604381999821,1.1781728762440344,50
clifford,3000,1.2102187715333168,0.8513870259484668,50
clifford,4000,1.1158542527999342,0.726865002667912,50
clifford,5000,1.0629958763999672,0.7778361477601283,50
clifford,6000,0.9433125861332671,0.6908794122197444,50
clifford,7000,0.8597530192571099,0.6823508362568034,50
clifford,8000,0.8073646909999173,0.6075486638498236,50
clifford,9000,0.7601147340665504,0.5311379838961164,50
clifford,10000,0.690108505599867,0.4443941993863576,50
pauli,10,6.339468943799846,7.0532269679286586,50
pauli,30,4.784656314599947,6.381587091781573,50
pauli,100,5.13943543819998,4.803379421751842,50
pauli,300,3.879677190999914,4.085645507453317,50
pauli,1000,2.724286752799932,3.3182202214466385,50
pauli,2000,2.022224561800016,2.0004176964345355,50
pauli,3000,1.9702054381999823,1.6554203816744226,50
pauli,4000,1.6268174999999994,1.2875200511096012,50
pauli,5000,1.499816123600033,1.2553319904157527,50
pauli,6000,1.270512809000083,1.0393311876459335,50
pauli,7000,1.2192578090000832,0.9791230109883051,50
pauli,8000,1.1049465590000833,0.7982666585555478,50
pauli,9000,1.0481423708001,0.8266836701369478,50
pauli,10000,1.0292463708001,0.7794667673599738,50
seeqst_binomial_q0.09091,10,11.60312050019801,13.159941982381213,50
seeqst_binomial_q0.09091,30,8.69774674971596,6.924194181430124,50
seeqst_binomial_q0.09091,100,5.2565876872965545,4.312911744021018,50
seeqst_binomial_q0.09091,300,3.0432607877456235,2.3921996428319403,50
seeqst_binomial_q0.09091,1000,1.706682538950602,0.9422897769853505,50
seeqst_binomial_q0.09091,2000,1.0530594389269672,0.7383217572841405,50
seeqst_binomial_q0.09091,3000,0.8402133093309722,0.5696294902676439,50
seeqst_binomial_q0.09091,4000,0.7832146743388289,0.4936054690714397,50
seeqst_binomial_q0.09091,5000,0.6936759509410814,0.5163112194458171,50
seeqst_binomial_q0.09091,6000,0.6224981904986957,0.4497627351636667,50
seeqst_binomial_q0.09091,7000,0.5525588060448713,0.36307951203751887,50
seeqst_binomial_q0.09091,8000,0.5082779735352365,0.386011249260468,50
seeqst_binomial_q0.09091,9000,0.43571688378063184,0.33666066405225203,50
seeqst_binomial_q0.09091,10000,0.4453046402608018,0.3014280433249439,50
seeqst_binomial_q0.5,10,12.766365078599614,26.737630339244227,50
seeqst_binomial_q0.5,30,14.588614906333083,13.83788401414491,50
seeqst_binomial_q0.5,100,9.637429123600034,6.904860894212321,50
seeqst_binomial_q0.5,300,5.6037812284666835,3.911584363666298,50
seeqst_binomial_q0.5,1000,2.849898247200067,2.186920065192135,50
seeqst_binomial_q0.5,2000,2.22208,1.4068696852483928,50
seeqst_binomial_q0.5,3000,1.6365757902667002,1.2410846073862465,50
seeqst_binomial_q0.5,4000,1.2898873708001006,1.0809036489267163,50
seeqst_binomial_q0.5,5000,1.211498247200067,0.9941238218701655,50
seeqst_binomial_q0.5,6000,1.1106873708001006,0.856840158035911,50
seeqst_binomial_q0.5,7000,1.0711902279429575,0.7327172917924379,50
seeqst_binomial_q0.5,8000,0.9503782472000669,0.6094200651312621,50
seeqst_binomial_q0.5,9000,0.9707407041334338,0.6500627464541642,50
seeqst_binomial_q0.5,10000,0.9514022472000669,0.630623555244934,50
seeqst_binomial_tuned,10,8.544145573600712,5.11839378629964,50
seeqst_binomial_tuned,30,4.373446750912819,5.176944202786344,50
seeqst_binomial_tuned,100,3.1298537175540506,3.056086433988178,50
seeqst_binomial_tuned,300,1.9768873850504554,1.3019921535199663,50
seeqst_binomial_tuned,1000,1.1188068232306614,0.6931550586800639,50
seeqst_binomial_tuned,2000,0.7180557145919252,0.5840918529629726,50
seeqst_binomial_tuned,3000,0.5285175510056129,0.40438043611483254,50
seeqst_binomial_tuned,4000,0.45290517281720283,0.3429524115338829,50
seeqst_binomial_tuned,5000,0.38982819722934436,0.2998099596147411,50
seeqst_binomial_tuned,6000,0.3974774599755195,0.2967161689306263,50
seeqst_binomial_tuned,7000,0.3846340781846316,0.2798031427436171,50
seeqst_binomial_tuned,8000,0.4150424029865401,0.269117237098127,50
seeqst_binomial_tuned,9000,0.35821470150123785,0.25328805593018366,50
seeqst_binomial_tuned,10000,0.34996939230730884,0.24617032076579073,50
seeqst_uniform,10,6.821250516799598,13.075214458395834,50
seeqst_uniform,30,11.970823325799682,15.671086764251996,50
seeqst_uniform,100,9.192341752799933,6.87738503521938,50
seeqst_uniform,300,5.5742084194666,4.595403670306936,50
seeqst_uniform,1000,2.6478345618000168,2.0416055854878965,50
seeqst_uniform,2000,1.9913273708001002,1.568263785962527,50
seeqst_uniform,3000,1.61518368540005,1.2264381950836087,50
seeqst_uniform,4000,1.4513436854000503,1.0630940458762907,50
seeqst_uniform,5000,1.2014876854000502,0.9284074434170176,50
seeqst_uniform,6000,1.0205866666666668,0.7197842931483327,50
seeqst_uniform,7000,0.9540353900572098,0.7617703614207375,50
seeqst_uniform,8000,0.8865545618000167,0.6884145052346173,50
seeqst_uniform,9000,0.7741402347111446,0.5991853894429371,50
seeqst_uniform,10000,0.7470611236000336,0.6301476893357919,50
