state_repeat,obs_repeat,state_type,ensemble,n,num_observables,n_sample,rmse,mean_variance,max_error
0,0,haar_random,clifford,3,64,25000,0.0199165635552048,8.868153527691657,0.039258524229931646
0,0,haar_random,clifford,3,64,30000,0.016286798357035726,8.876090215142753,0.03823852422993165
0,0,haar_random,clifford,3,64,35000,0.01423437647949017,8.871196433329995,0.04090155000488318
0,0,haar_random,clifford,3,64,40000,0.015739977125206354,8.869174776077973,0.042830121433454604
0,0,haar_random,clifford,3,64,45000,0.014910301412300164,8.868126023842581,0.029930121433454603
0,0,haar_random,clifford,3,64,50000,0.015575751337446759,8.866866233338186,0.03613583538925558
0,0,haar_random,clifford,3,64,55000,0.01469896779795629,8.868059287554836,0.035955835389255564
0,0,haar_random,clifford,3,64,60000,0.013247296507830885,8.866533211296725,0.029505835389255552
0,0,haar_random,clifford,3,64,65000,0.011992163474532165,8.863738533836443,0.02826869092178324
0,0,haar_random,clifford,3,64,70000,0.01214786216134949,8.86606998869301,0.032175284328376644
0,0,haar_random,clifford,3,64,75000,0.011797736115979767,8.864464261181107,0.03160099861409093
0,0,haar_random,clifford,3,64,80000,0.012170507924326295,8.864211143303436,0.03178852422993164
0,0,haar_random,clifford,3,64,85000,0.011495509557208424,8.867388337562986,0.030385583053461063
0,0,haar_random,clifford,3,64,90000,0.011359163749175633,8.86718018078742,0.02903852422993164
0,0,haar_random,clifford,3,64,95000,0.010650476364548083,8.86451058967065,0.026696418966773758
0,0,haar_random,clifford,3,64,100000,0.010788091392662708,8.86404620951427,0.02626099861409093
0,0,haar_random,seeqst,3,64,1000,0.09109863544456381,13.91292511261259,0.21596393264023522
0,0,haar_random,seeqst,3,64,5000,0.06179528781957028,14.281545049009647,0.17116393264023522
0,0,haar_random,seeqst,3,64,10000,0.03427521729292122,14.330405834333432,0.09548425407674294
0,0,haar_random,seeqst,3,64,15000,0.028827885458367935,14.36497295903138,0.0779312190954515
0,0,haar_random,seeqst,3,64,20000,0.023089320575816145,14.32680562715652,0.05390289327531966
0,0,haar_random,seeqst,3,64,25000,0.021724606687188792,14.31848148246053,0.04797358635986115
