state_repeat,obs_repeat,state_type,ensemble,n,m,rest_mode,num_observables,estimator,mom_num_groups,n_sample,rmse,max_error
0,1,haar_random,seeqst_uniform,6,5,random,50,mean,1,6000,0.14553098367089537,0.41758694290039017
0,1,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,100,0.5789673123315037,1.3954808995645622
0,1,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,500,0.23747030954392584,0.7156033394631236
0,1,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,1000,0.21073058302333053,0.6260238194631234
0,1,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,2000,0.14637019111080338,0.4468647794631235
0,1,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,3000,0.10419159957915378,0.30751885946312363
0,1,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,4000,0.0919257662465734,0.26770573946312376
0,1,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,5000,0.08296186142772005,0.273677707463124
0,1,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,6000,0.07910643361972994,0.23286925946312398
0,2,haar_random,pauli,6,5,random,50,mean,1,100,1.3721064481484537,7.3125573128253425
0,2,haar_random,pauli,6,5,random,50,mean,1,500,0.8078647370870087,1.6333060176740997
0,2,haar_random,pauli,6,5,random,50,mean,1,1000,0.5344049631487526,1.6693174124827206
0,2,haar_random,pauli,6,5,random,50,mean,1,2000,0.37536328312395917,0.8899572427999041
0,2,haar_random,pauli,6,5,random,50,mean,1,3000,0.3485014152857274,0.6201836396140683
0,2,haar_random,pauli,6,5,random,50,mean,1,4000,0.31644545478861646,1.1130075682072775
0,2,haar_random,pauli,6,5,random,50,mean,1,5000,0.28618938071440686,1.0401075682072778
0,2,haar_random,pauli,6,5,random,50,mean,1,6000,0.27282608507403516,0.9915075682072776
0,2,haar_random,clifford,6,5,random,50,mean,1,100,0.810264087207893,2.955677132653363
0,2,haar_random,clifford,6,5,random,50,mean,1,500,0.35687679820894663,1.0003340204045343
0,2,haar_random,clifford,6,5,random,50,mean,1,1000,0.2195205086719467,0.49338190176197216
0,2,haar_random,clifford,6,5,random,50,mean,1,2000,0.144427724383279,0.3472767701829139
0,2,haar_random,clifford,6,5,random,50,mean,1,3000,0.12397046302341257,0.32302731565923193
0,2,haar_random,clifford,6,5,random,50,mean,1,4000,0.09824642341774822,0.20145172882714496
0,2,haar_random,clifford,6,5,random,50,mean,1,5000,0.1030433867711575,0.23744268717465147
0,2,haar_random,clifford,6,5,random,50,mean,1,6000,0.08591911938677678,0.1881535817734502
0,2,haar_random,seeqst_uniform,6,5,random,50,mean,1,100,1.0643524070456662,3.6833819017619733
0,2,haar_random,seeqst_uniform,6,5,random,50,mean,1,500,0.5010759117532035,1.3793819017619735
0,2,haar_random,seeqst_uniform,6,5,random,50,mean,1,1000,0.3706283761832832,0.7393819017619734
0,2,haar_random,seeqst_uniform,6,5,random,50,mean,1,2000,0.26000882547499127,0.6113819017619734
0,2,haar_random,seeqst_uniform,6,5,random,50,mean,1,3000,0.2251565244807697,0.5057080880475031
0,2,haar_random,seeqst_uniform,6,5,random,50,mean,1,4000,0.20089954178699493,0.4630414213808365
0,2,haar_random,seeqst_uniform,6,5,random,50,mean,1,5000,0.17702486929240294,0.4374414213808364
0,2,haar_random,seeqst_uniform,6,5,random,50,mean,1,6000,0.1692033690349599,0.33404856842864006
0,2,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,100,0.4764674078085407,1.1055942547272488
0,2,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,500,0.2509839422405886,0.6017488460489695
0,2,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,1000,0.1756526804347247,0.4379092453710984
0,2,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,2000,0.12935508010570254,0.3333998053710984
0,2,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,3000,0.09260617038160837,0.18147497031145463
0,2,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,4000,0.07422990092088044,0.1627364979232828
0,2,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,5000,0.0709545625644658,0.18968305404896968
0,2,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,6000,0.06933853470099771,0.1588278860489697
0,3,haar_random,pauli,6,5,random,50,mean,1,100,0.4760024438098013,2.309000849187816
0,3,haar_random,pauli,6,5,random,50,mean,1,500,0.9675483599324289,4.336826277992928
0,3,haar_random,pauli,6,5,random,50,mean,1,1000,0.734180167111592,2.2736276703239424
0,3,haar_random,pauli,6,5,random,50,mean,1,2000,0.5221320469036501,1.8662716685010905
0,3,haar_random,pauli,6,5,random,50,mean,1,3000,0.46948435197037225,1.6589906750140782
0,3,haar_random,pauli,6,5,random,50,mean,1,4000,0.38678576604082376,1.2337406750140785
0,3,haar_random,pauli,6,5,random,50,mean,1,5000,0.3269862072538532,1.1243906750140786
0,3,haar_random,pauli,6,5,random,50,mean,1,6000,0.32389377538272296,0.9299906750140786
0,3,haar_random,clifford,6,5,random,50,mean,1,100,0.7457451683479286,2.6680697849775212
0,3,haar_random,clifford,6,5,random,50,mean,1,500,0.324307260567634,0.7996343637067689
0,3,haar_random,clifford,6,5,random,50,mean,1,1000,0.21967758179702787,0.5762276266851142
0,3,haar_random,clifford,6,5,random,50,mean,1,2000,0.17115034636649062,0.396466069107444
0,3,haar_random,clifford,6,5,random,50,mean,1,3000,0.15037427608429804,0.47229940244077717
0,3,haar_random,clifford,6,5,random,50,mean,1,4000,0.12860036550970244,0.33969071072187684
0,3,haar_random,clifford,6,5,random,50,mean,1,5000,0.1124519189894678,0.2847327109308509
0,3,haar_random,clifford,6,5,random,50,mean,1,6000,0.09624865139559584,0.24573271093085097
0,3,haar_random,seeqst_uniform,6,5,random,50,mean,1,100,0.978825237401054,3.7692174726946837
0,3,haar_random,seeqst_uniform,6,5,random,50,mean,1,500,0.5098670921180174,1.1723898604607572
0,3,haar_random,seeqst_uniform,6,5,random,50,mean,1,1000,0.42400047674242625,0.9462276266851161
0,3,haar_random,seeqst_uniform,6,5,random,50,mean,1,2000,0.2671093417315393,0.6902276266851161
0,3,haar_random,seeqst_uniform,6,5,random,50,mean,1,3000,0.2259883173338145,0.536470154681465
0,3,haar_random,seeqst_uniform,6,5,random,50,mean,1,4000,0.19658967264616495,0.4938034880147983
0,3,haar_random,seeqst_uniform,6,5,random,50,mean,1,5000,0.14939804478234697,0.3658034880147983
0,3,haar_random,seeqst_uniform,6,5,random,50,mean,1,6000,0.12851255357210786,0.30385175047564605
0,3,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,100,0.48451814258200576,1.1801263109308515
0,3,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,500,0.2379216628148082,0.5103507644482983
0,3,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,1000,0.19056134647354456,0.5812120951422184
0,3,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,2000,0.12304913935909904,0.32601307588681083
0,3,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,3000,0.1021163592097445,0.32103643588681086
0,3,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,4000,0.06962409934413011,0.1916437958868108
0,3,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,5000,0.07303556667350539,0.2334475718868108
0,3,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,6000,0.06359826039999279,0.1816905158868108
0,4,haar_random,pauli,6,5,random,50,mean,1,100,2.2497287042416625,7.322661169016892
0,4,haar_random,pauli,6,5,random,50,mean,1,500,0.843803281089659,2.9980529646035485
0,4,haar_random,pauli,6,5,random,50,mean,1,1000,0.6172076334418458,1.9386598847563787
0,4,haar_random,pauli,6,5,random,50,mean,1,2000,0.42011896640440877,1.137807281978109
0,4,haar_random,pauli,6,5,random,50,mean,1,3000,0.33828556702705015,0.9901965119852012
0,4,haar_random,pauli,6,5,random,50,mean,1,4000,0.28940057958392384,0.9294465119852011
0,4,haar_random,pauli,6,5,random,50,mean,1,5000,0.2797178068249975,0.7471965119852013
0,4,haar_random,pauli,6,5,random,50,mean,1,6000,0.2566206758128337,0.6256965119852014
0,4,haar_random,clifford,6,5,random,50,mean,1,100,0.8116506508292981,2.364499533294441
0,4,haar_random,clifford,6,5,random,50,mean,1,500,0.4163157939786928,0.934499533294443
0,4,haar_random,clifford,6,5,random,50,mean,1,1000,0.25611731583662006,0.6531582966783563
0,4,haar_random,clifford,6,5,random,50,mean,1,2000,0.16942476945061635,0.396466069107444
0,4,haar_random,clifford,6,5,random,50,mean,1,3000,0.15799050253665525,0.47229940244077717
0,4,haar_random,clifford,6,5,random,50,mean,1,4000,0.10947163869132141,0.2664660691074442
0,4,haar_random,clifford,6,5,random,50,mean,1,5000,0.11148925679539431,0.25015829667835704
