state_type,ensemble,term_group,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,num_terms,num_repeats
ground_state,clifford,hopping,10,1.406408305800742,1.1189979063407516,31.687499999999897,40.45129530270514,3.267613311003218,3.1781013093516486,10,4
ground_state,clifford,hopping,30,1.3189989112858584,0.27718816739974694,63.374999999999744,18.447631984681625,2.708333333333329,0.8591969472432202,10,4
ground_state,clifford,hopping,100,0.839690722226945,0.19506598170535558,58.72323232323205,17.089012701889065,1.5650218424507985,0.38159151992872303,10,4
ground_state,clifford,hopping,300,0.44371068618722564,0.05385225274949554,68.45135869565195,6.1625358657364995,0.997979595549773,0.29507539542756395,10,4
ground_state,clifford,hopping,1000,0.2393736988982699,0.06857170646197096,65.3438119369368,2.5017128258401606,0.4766024797726627,0.19367132599541886,10,4
ground_state,clifford,hopping,3000,0.15573326850336688,0.034001745390328075,63.68922175447314,1.4661842559136635,0.31958333333333266,0.1033633978889066,10,4
ground_state,clifford,z_single,10,2.181123921227476,0.9783773529552436,52.81249999999983,35.20833333333322,4.8993608073848565,2.793110309659979,6,4
ground_state,clifford,z_single,30,1.4507950806967906,0.5919880895460814,52.40780651340975,10.926724137930997,2.7326941407181935,1.7766715530336648,6,4
ground_state,clifford,z_single,100,0.8939987988148778,0.2703917070739462,59.49852693602665,32.33010973079183,1.4686771287458922,0.665296298836659,6,4
ground_state,clifford,z_single,300,0.4824711507962962,0.053424896662924014,67.45320048309131,16.312878117561883,0.7171796738008214,0.1337663588041521,6,4
ground_state,clifford,z_single,1000,0.28480356368606186,0.0693781715433992,66.8209407323988,6.461026680834234,0.5057120638692395,0.10361617800638384,6,4
ground_state,clifford,z_single,3000,0.16460132847268058,0.005452751722248535,64.12332872531543,3.0813270472982204,0.251592335629342,0.018702224333912724,6,4
ground_state,clifford,zz_long_range,10,1.513655478458641,1.0207233128653963,31.687499999999883,40.451295302705134,3.4259256622997536,2.943058704403088,10,4
ground_state,clifford,zz_long_range,30,1.1148101371256476,0.2776752328179223,42.24999999999983,30.423477167525665,2.2202051545318016,0.6740911530974955,10,4
ground_state,clifford,zz_long_range,100,0.7194869167268335,0.09388263332466407,57.987058080807806,10.991256317074662,1.379156686444138,0.3886864679163024,10,4
ground_state,clifford,zz_long_range,300,0.3914117133188634,0.06170731777896949,58.527083333333096,9.033223281512228,0.7783882098047876,0.17102311042416546,10,4
ground_state,clifford,zz_long_range,1000,0.21537815916572686,0.06925499875073146,65.58741554054009,3.152367936124978,0.40836290404341036,0.1985062784905711,10,4
ground_state,clifford,zz_long_range,3000,0.11151013090456438,0.060551175847921065,63.685981507724335,1.166872496664981,0.21668625715421833,0.14783330395796246,10,4
ground_state,pauli,hopping,10,0.9328672719730574,0.18746090259408765,10.192499999999988,2.0815438981678946,2.271652861892777,0.7103799127163918,10,4
ground_state,pauli,hopping,30,0.5467589226796172,0.10252666229558231,9.298706896551714,0.6196044392333837,1.055557259328308,0.2515745960775015,10,4
ground_state,pauli,hopping,100,0.3328526925642821,0.06111710136081433,8.591318181818174,0.48197807809960885,0.7189958659879512,0.20328868010435452,10,4
ground_state,pauli,hopping,300,0.15792722493959854,0.03822932592412925,8.808140468227412,0.15284278221350614,0.34096044911044454,0.1297020257860828,10,4
ground_state,pauli,hopping,1000,0.08338078761383283,0.032391924137541196,8.766841216216184,0.19340575514467798,0.16657376011366815,0.08579997045042607,10,4
ground_state,pauli,hopping,3000,0.06005845028427141,0.01900084646791247,8.723341005335111,0.040969129899075404,0.12870477955564513,0.060532108012078735,10,4
ground_state,pauli,z_single,10,0.4320065487360378,0.05027712306983897,2.362499999999997,0.4239092757584738,0.7460744124782985,0.1414271341320221,6,4
ground_state,pauli,z_single,30,0.18521645211734072,0.058358986037828214,2.440517241379308,0.38867361876808415,0.3610025450549274,0.1359529698165286,6,4
ground_state,pauli,z_single,100,0.14947913092377257,0.00851419460425188,2.4333712121212097,0.26167724926399155,0.2702190697148019,0.06078809926207508,6,4
ground_state,pauli,z_single,300,0.04500464416109607,0.019202847015613766,2.418787625418057,0.08824657240646021,0.07968113358404258,0.022628317727126503,6,4
ground_state,pauli,z_single,1000,0.04537649354964415,0.0022353082334469277,2.408182057057057,0.06106020282025218,0.08431886641595746,0.014567134130012368,6,4
ground_state,pauli,z_single,3000,0.035604738798535,0.014081816342560297,2.410329901633878,0.02494417626443734,0.05307032619917784,0.022997779683018818,6,4
ground_state,pauli,zz_long_range,10,0.8317619781106238,0.24259933827858401,5.962499999999996,4.024503074914962,1.3615242703912096,0.6203895407492237,10,4
ground_state,pauli,zz_long_range,30,0.47459583579426934,0.18555202776267882,7.902155172413789,2.329228903091412,1.0417372699561458,0.3287175168014477,10,4
ground_state,pauli,zz_long_range,100,0.25031152495219067,0.04283827420088872,8.598477272727266,1.3905324155733731,0.47573274475869565,0.09937371071807105,10,4
ground_state,pauli,zz_long_range,300,0.10969325824976259,0.0331433168929064,8.609568561872898,0.10569013982117467,0.19536102085707172,0.07475010090039967,10,4
ground_state,pauli,zz_long_range,1000,0.08803404931190681,0.01595229512189848,8.532837162162163,0.13821866649654702,0.16994542120236844,0.030014070915541334,10,4
