repeat,state_type,ensemble,n,n_sample,term_group,num_terms,rmse,mean_variance,max_error
0,ground_state,pauli,6,10,z_single,6,0.38406326850795575,2.799999999999997,0.5454352198631633
0,ground_state,pauli,6,10,zz_long_range,10,1.0064369388263261,8.639999999999993,2.1746892651417573
0,ground_state,pauli,6,10,hopping,10,1.0025946914800785,11.789999999999987,2.2550436849016022
0,ground_state,pauli,6,30,z_single,6,0.14239158158096482,2.8051724137931004,0.2520080096762952
0,ground_state,pauli,6,30,zz_long_range,10,0.37125551243902094,9.701379310344823,0.9746892651417579
0,ground_state,pauli,6,30,hopping,10,0.6172426943673945,9.729310344827574,1.061114518656617
0,ground_state,pauli,6,100,z_single,6,0.1621061676150381,2.72712121212121,0.32671652465987455
0,ground_state,pauli,6,100,zz_long_range,10,0.3079730231318345,9.85827272727272,0.5546892651417582
0,ground_state,pauli,6,100,hopping,10,0.4076297146295003,8.319272727272718,0.8949563150983957
0,ground_state,pauli,6,300,z_single,6,0.07319463628693716,2.514749163879593,0.10671652465987469
0,ground_state,pauli,6,300,zz_long_range,10,0.14689312368931728,8.71151839464883,0.28053531368120244
0,ground_state,pauli,6,300,hopping,10,0.13599551752728345,8.814551839464876,0.2888854813433823
0,ground_state,pauli,6,1000,z_single,6,0.0482373066038283,2.4648723723723673,0.08499199032370441
0,ground_state,pauli,6,1000,zz_long_range,10,0.09118218806680128,8.399416216216187,0.18890876974708448
0,ground_state,pauli,6,1000,hopping,10,0.05647926022973255,9.018624324324325,0.07888548134338247
0,ground_state,pauli,6,3000,z_single,6,0.04086272158105847,2.433680393464503,0.056716524659874534
0,ground_state,pauli,6,3000,zz_long_range,10,0.05823764167407,8.512529209736575,0.10790876974708452
0,ground_state,pauli,6,3000,hopping,10,0.03239330971357243,8.782728176058786,0.05340955911129025
0,ground_state,clifford,6,10,z_single,6,3.0432624846468954,70.41666666666644,7.247991990323695
0,ground_state,clifford,6,10,zz_long_range,10,0.6676931539905613,5.2890851097734465e-31,0.8771620594577627
0,ground_state,clifford,6,10,hopping,10,0.4774710192785317,5.413716434663627e-31,0.5154095591112907
0,ground_state,clifford,6,30,z_single,6,1.4770884959401007,46.944444444444265,2.9146586569903676
0,ground_state,clifford,6,30,zz_long_range,10,1.1303066477029018,28.16666666666656,2.6919774015249045
0,ground_state,clifford,6,30,hopping,10,1.1886832064526902,71.38793103448249,2.6820762257779527
0,ground_state,clifford,6,100,z_single,6,1.0458356916731397,56.33333333333297,1.3979919903237032
0,ground_state,clifford,6,100,zz_long_range,10,0.7678313657571845,59.14999999999973,1.8253107348582387
0,ground_state,clifford,6,100,hopping,10,0.9185662691660037,75.53787878787855,2.084590440888704
0,ground_state,clifford,6,300,z_single,6,0.4684831244907883,67.56702898550678,0.723283475340125
0,ground_state,clifford,6,300,zz_long_range,10,0.41729182479405336,54.6518115942027,0.958644068191574
0,ground_state,clifford,6,300,hopping,10,0.4338412384519907,68.78224637681117,0.7845904408887069
0,ground_state,clifford,6,1000,z_single,6,0.34119507337203364,61.43801301301287,0.5932834753401256
0,ground_state,clifford,6,1000,zz_long_range,10,0.15033683525484182,68.89076076076051,0.22102871088771797
0,ground_state,clifford,6,1000,hopping,10,0.21705306854789042,62.31600100100113,0.3945904408887081
0,ground_state,clifford,6,3000,z_single,6,0.17096616708369092,61.84629228261142,0.22799199032370554
0,ground_state,clifford,6,3000,zz_long_range,10,0.06836724686140318,64.49870818050417,0.11882872612443085
0,ground_state,clifford,6,3000,hopping,10,0.18701364176693427,64.0070829165283,0.46662298176506267
0,ground_state,seeqst,6,10,z_single,6,0.31086809484349204,1.2962962962962965,0.4767165246598746
0,ground_state,seeqst,6,10,zz_long_range,10,0.35923157730487454,1.5022222222222223,0.6690912302529155
0,ground_state,seeqst,6,10,hopping,10,0.4774710192785315,0.0,0.5154095591112902
0,ground_state,seeqst,6,30,z_single,6,0.2640593272327771,1.221455938697318,0.38534134300962897
0,ground_state,seeqst,6,30,zz_long_range,10,0.17172696070051902,1.43816091954023,0.26053531368120264
0,ground_state,seeqst,6,30,hopping,10,1.7289404700345141,109.22666666666657,3.7512571075553764
0,ground_state,seeqst,6,100,z_single,6,0.12241570609527823,1.4049831649831643,0.20328347534012525
0,ground_state,seeqst,6,100,zz_long_range,10,0.09822742858495523,1.555636363636364,0.16053531368120266
0,ground_state,seeqst,6,100,hopping,10,0.6258044795745078,131.73397979798,0.8350436849016041
0,ground_state,seeqst,6,300,z_single,6,0.04667752258646859,1.3605276848755123,0.07661680867345866
0,ground_state,seeqst,6,300,zz_long_range,10,0.056392284930444715,1.5372307692307705,0.0872019803478693
0,ground_state,seeqst,6,300,hopping,10,0.2074887418687081,109.44585061315517,0.444956315098396
0,ground_state,seeqst,6,1000,z_single,6,0.03783127482088132,1.3955315315315338,0.04999199032370438
0,ground_state,seeqst,6,1000,zz_long_range,10,0.02279503930585852,1.5889321321321321,0.035310734858241655
0,ground_state,seeqst,6,1000,hopping,10,0.4775392188605535,143.70030830830797,0.707043684901604
0,ground_state,seeqst,6,3000,z_single,6,0.019335244915779082,1.4248232373754355,0.028658656990370956
0,ground_state,seeqst,6,3000,zz_long_range,10,0.03964826415923778,1.5982254529287707,0.07597740152490834
0,ground_state,seeqst,6,3000,hopping,10,0.17115141537745368,138.4818583972479,0.33311451865661745
0,neel,pauli,6,10,z_single,6,0.20000000000000015,2.066666666666664,0.40000000000000024
0,neel,pauli,6,10,zz_long_range,10,0.5205766033928148,7.109999999999994,1.0
0,neel,pauli,6,10,hopping,10,1.06489436095793,13.139999999999981,1.7999999999999985
0,neel,pauli,6,30,z_single,6,0.2081665999466136,1.8517241379310325,0.40000000000000036
0,neel,pauli,6,30,zz_long_range,10,0.4847679857416331,5.3534482758620685,0.7000000000000002
0,neel,pauli,6,30,hopping,10,0.501996015920445,12.028965517241364,1.199999999999999
0,neel,pauli,6,100,z_single,6,0.17521415467935242,1.8881818181818177,0.28000000000000014
0,neel,pauli,6,100,zz_long_range,10,0.30031649971321933,6.7099090909090835,0.6400000000000001
0,neel,pauli,6,100,hopping,10,0.17544229820656124,10.76890909090908,0.3599999999999997
0,neel,pauli,6,300,z_single,6,0.09831920802501745,2.0103678929765874,0.18999999999999972
0,neel,pauli,6,300,zz_long_range,10,0.1757270610919103,8.304802675585268,0.2899999999999998
0,neel,pauli,6,300,hopping,10,0.12074767078498855,8.708448160535122,0.2399999999999998
0,neel,pauli,6,1000,z_single,6,0.06696640949013166,1.9799954954954953,0.09400000000000008
0,neel,pauli,6,1000,zz_long_range,10,0.12513312910656396,7.58802972972974,0.27100000000000013
0,neel,pauli,6,1000,hopping,10,0.09191463430814484,8.983435135135105,0.13499999999999998
0,neel,pauli,6,3000,z_single,6,0.03154890383727045,1.9863334444814784,0.05300000000000016
0,neel,pauli,6,3000,zz_long_range,10,0.05803619560239972,7.950281893964542,0.13300000000000012
0,neel,pauli,6,3000,hopping,10,0.05699210471635522,9.117691130376816,0.10499999999999998
0,neel,clifford,6,10,z_single,6,3.952847075210468,211.2499999999994,5.49999999999999
0,neel,clifford,6,10,zz_long_range,10,4.2690748412273045,117.36111111111072,11.999999999999977
0,neel,clifford,6,10,hopping,10,3.5601966237835727,126.74999999999952,6.499999999999988
0,neel,clifford,6,30,z_single,6,1.6749792701868123,92.2701149425284,3.333333333333327
0,neel,clifford,6,30,zz_long_range,10,1.455831186794828,69.44540229885028,3.333333333333326
0,neel,clifford,6,30,hopping,10,2.166666666666663,111.69540229885013,4.333333333333326
0,neel,clifford,6,100,z_single,6,1.0398317171542688,75.75126262626229,1.5999999999999956
0,neel,clifford,6,100,zz_long_range,10,0.6591661399070784,75.02575757575721,1.5999999999999956
0,neel,clifford,6,100,hopping,10,1.3321035995747454,100.63181818181779,2.599999999999996
0,neel,clifford,6,300,z_single,6,0.576146200581452,73.71376811594158,0.9499999999999966
0,neel,clifford,6,300,zz_long_range,10,0.5873197122900293,69.13550724637659,1.166666666666663
0,neel,clifford,6,300,hopping,10,0.5933661039639289,71.71195652173895,1.0833333333333317
0,neel,clifford,6,1000,z_single,6,0.3308259864843336,69.89294711378027,0.5599999999999965
0,neel,clifford,6,1000,zz_long_range,10,0.2375447326294572,55.46253503503455,0.480000000000001
0,neel,clifford,6,1000,hopping,10,0.3256493512967585,67.13859109109045,0.8449999999999984
0,neel,clifford,6,3000,z_single,6,0.12010604881921196,65.84502287799647,0.19833333333333514
0,neel,clifford,6,3000,zz_long_range,10,0.1640655356862013,59.278341947317145,0.26333333333333486
0,neel,clifford,6,3000,hopping,10,0.1686663372855806,67.87584361453818,0.3683333333333328
