state_repeat,obs_repeat,state_type,ensemble,n,num_observables,n_sample,rmse,mean_variance,max_error
0,0,haar_random,pauli,4,5,10,1.1420459586622111,19.799999999999972,2.4565932310131444
0,0,haar_random,pauli,4,5,50,1.4291166930888421,61.35502040816321,3.1115255160408384
0,0,haar_random,pauli,4,5,200,0.18204765946899673,28.911301507537615,0.2917243727545915
0,0,haar_random,pauli,4,5,800,0.161506230788739,27.008101689611657,0.27652551604083975
0,0,haar_random,clifford,4,5,10,0.9852957480943845,37.2488888888888,1.571525516040838
0,0,haar_random,clifford,4,5,50,0.3562408055670496,26.776734693877508,0.6851703305175758
0,0,haar_random,clifford,4,5,200,0.24626730395765367,17.51572361809043,0.29652551604083943
0,0,haar_random,clifford,4,5,800,0.15522817654390234,17.50728723404261,0.2601703305175766
0,0,haar_random,seeqst,4,5,10,0.21345459202579767,0.49777777777777776,0.33482966948242304
0,0,haar_random,seeqst,4,5,50,0.47371215081567564,16.763102040816328,0.9451703305175769
0,0,haar_random,seeqst,4,5,200,0.2969898422913316,26.999879396984916,0.465170330517577
0,0,haar_random,seeqst,4,5,800,0.12118330436263823,27.21547809762213,0.19152551604083995
0,1,haar_random,pauli,4,5,10,0.4306226828727041,1.6199999999999988,0.7337002317652975
0,1,haar_random,pauli,4,5,50,0.836227097233375,63.23289795918352,1.2359212529014254
0,1,haar_random,pauli,4,5,200,0.31111576334457886,35.635929648241174,0.4259212529014258
0,1,haar_random,pauli,4,5,800,0.2049909142270416,41.759301627033224,0.28282874709857386
0,1,haar_random,clifford,4,5,10,0.28862399686959217,2.33013127529624e-64,0.3840787470985738
0,1,haar_random,clifford,4,5,50,0.8228764681405027,13.16424489795915,1.1862997682347012
0,1,haar_random,clifford,4,5,200,0.5412922135214817,15.982135678391899,0.8059212529014248
0,1,haar_random,clifford,4,5,800,0.2629137854914505,18.353941489361755,0.38092125290142576
0,1,haar_random,seeqst,4,5,10,0.28862399686959217,0.0,0.3840787470985738
0,1,haar_random,seeqst,4,5,50,0.2850138402058929,37.365551020408155,0.4400679533375066
0,1,haar_random,seeqst,4,5,200,0.36908034779755583,39.74046231155778,0.6000679533375066
0,1,haar_random,seeqst,4,5,800,0.25375996129653833,32.83047809762216,0.3262997682347022
0,0,ghz,pauli,4,5,10,5.185749704719654,268.91999999999973,8.099999999999996
0,0,ghz,pauli,4,5,50,1.5379206741571547,165.8681632653059,3.2399999999999984
0,0,ghz,pauli,4,5,200,0.1866279721799494,78.11574874371823,0.4049999999999998
0,0,ghz,pauli,4,5,800,0.07043614129124334,47.885395494368325,0.10124999999999995
0,0,ghz,clifford,4,5,10,1.5205262246998557,23.11999999999996,1.6999999999999993
0,0,ghz,clifford,4,5,50,0.3724513391035127,14.01355102040813,0.6799999999999994
0,0,ghz,clifford,4,5,200,0.17829750418892562,17.3951859296482,0.3399999999999998
0,0,ghz,clifford,4,5,800,0.12354275575686317,15.971952127659488,0.25499999999999956
0,0,ghz,seeqst,4,5,10,3.5054243680330632,77.3688888888889,6.4
0,0,ghz,seeqst,4,5,50,1.4021697472132253,64.86726530612246,2.56
0,0,ghz,seeqst,4,5,200,0.3431617694324355,40.01833165829154,0.64
0,0,ghz,seeqst,4,5,800,0.23866294224282075,31.214057571964965,0.36
0,1,ghz,pauli,4,5,10,1.2074767078498856,14.579999999999979,2.6999999999999984
0,1,ghz,pauli,4,5,50,0.34152598729818473,17.734040816326523,0.5399999999999998
0,1,ghz,pauli,4,5,200,0.22589820716420025,38.04720603015072,0.4049999999999998
0,1,ghz,pauli,4,5,800,0.20859575139489292,34.07983760951176,0.4049999999999998
0,1,ghz,clifford,4,5,10,1.0751744044572482,11.559999999999977,1.6999999999999986
0,1,ghz,clifford,4,5,50,0.48083261120685195,11.559999999999974,0.6799999999999994
0,1,ghz,clifford,4,5,200,0.33572310018823515,19.05657286432156,0.5099999999999996
0,1,ghz,clifford,4,5,800,0.1956846953647626,15.876553191489506,0.2762499999999999
0,1,ghz,seeqst,4,5,10,1.4310835055998656,20.480000000000004,3.2
0,1,ghz,seeqst,4,5,50,0.64,45.557551020408155,1.28
0,1,ghz,seeqst,4,5,200,0.44685568140060616,35.81941708542726,0.64
0,1,ghz,seeqst,4,5,800,0.3468717342188608,32.68854067584469,0.48
0,0,random_stabilizer,pauli,4,5,10,1.5059880477613352,19.079999999999977,2.6999999999999984
0,0,random_stabilizer,pauli,4,5,50,0.7846018098373209,45.32693877551011,1.6199999999999992
0,0,random_stabilizer,pauli,4,5,200,0.29301877072979454,20.753909547738697,0.4049999999999998
0,0,random_stabilizer,pauli,4,5,800,0.21744826971029213,25.702344180225083,0.4049999999999998
0,0,random_stabilizer,clifford,4,5,10,1.8622566955175626,34.679999999999914,3.3999999999999964
0,0,random_stabilizer,clifford,4,5,50,0.4561578674099567,12.763183673469355,0.6799999999999994
0,0,random_stabilizer,clifford,4,5,200,0.2404163056034259,13.302713567839167,0.4249999999999996
0,0,random_stabilizer,clifford,4,5,800,0.0921378044018848,15.906393617021285,0.1699999999999998
0,0,random_stabilizer,seeqst,4,5,10,1.4310835055998656,20.480000000000004,3.2
0,0,random_stabilizer,seeqst,4,5,50,0.64,28.839183673469385,1.28
0,0,random_stabilizer,seeqst,4,5,200,0.23731835158706122,31.846914572864296,0.48
