state_type,ensemble,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,num_state_repeats,num_observable_repeats
ghz,clifford,10,1.10778453649107,0.3126519272530037,13.004999999999976,7.273007172644142,1.6999999999999988,2.8665835232995054e-16,2,2
ghz,clifford,50,0.46521057415035616,0.06551459581595112,14.52077551020405,2.9660421759717366,0.7649999999999992,0.16999999999999976,2,2
ghz,clifford,200,0.29111054467600217,0.07731667158244866,18.571880653266277,1.5138389204502478,0.4887499999999996,0.1069559878330021,2,2
ghz,clifford,800,0.14891016780605568,0.031940296888044145,17.302563829787275,1.5988500171495086,0.24968749999999978,0.04022560078275193,2,2
ghz,pauli,10,2.025214087265116,2.225610897631754,78.16499999999992,127.72598208665286,3.3749999999999982,3.3974254958718353,2,2
ghz,pauli,50,0.7845393312501525,0.5480608697599961,61.54512244897952,70.37977291234786,1.4849999999999994,1.2759702190882036,2,2
ghz,pauli,200,0.31513340668787787,0.19203623265516828,53.72314824120582,18.76709799029861,0.5062499999999998,0.20249999999999996,2,2
ghz,pauli,800,0.17084889561406458,0.06931088050664144,40.15289877972479,5.759206742096051,0.30374999999999985,0.1431891231902758,2,2
ghz,seeqst,10,1.8602260021081733,1.501803014637469,39.92000000000001,35.84241467468305,3.2,2.612789058968724,2,2
ghz,seeqst,50,0.7385422618018733,0.4527771012062827,32.837551020408156,27.075705979851623,1.28,0.9050966799187808,2,2
ghz,seeqst,200,0.31635814666510875,0.12435177542556469,30.102834170854322,11.018067906452718,0.48,0.22627416997969518,2,2
ghz,seeqst,800,0.237500380100539,0.0783273639038916,30.734660513141367,1.5688053495043506,0.35,0.1,2,2
haar_random,clifford,10,1.0015079238352294,0.5108883909297844,22.63833333333329,16.156920761004095,1.383353942994846,0.7041651263207614,2,2
haar_random,clifford,50,0.4854028151152935,0.22709055760037644,16.98022448979588,6.602325600687853,0.7902046044643527,0.2662561802147785,2,2
haar_random,clifford,200,0.3572520450629638,0.12847143018114274,15.870674623115534,1.3340580050465813,0.49592531510156257,0.2178495939686751,2,2
haar_random,clifford,800,0.181247032511399,0.05874576194169418,16.6251183510639,1.5630547308945348,0.2733244382664256,0.0945586539641969,2,2
haar_random,pauli,10,0.8668496832486461,0.49748067920563205,11.429999999999987,10.426025129453688,1.5898726371505647,0.9854729669810628,2,2
haar_random,pauli,50,0.8353516758281514,0.4443007676138728,41.97618367346933,24.413159984111577,1.4566179591232573,1.1343086222803702,2,2
haar_random,pauli,200,0.3216916093639134,0.12656524370482436,27.95110552763816,8.068472594793196,0.539764682817393,0.29439316814232064,2,2
haar_random,pauli,800,0.17745635847000313,0.024364621162882353,28.213743351063634,9.689050722517727,0.28497959364983144,0.012893645345510582,2,2
haar_random,seeqst,10,0.8812057078403692,1.2835976020869329,20.757777777777783,40.77568314329595,1.1123787514245176,1.519952119757172,2,2
haar_random,seeqst,50,0.6497923368182663,0.36235011067422307,31.864244897959185,13.855464873588746,1.0673849068193006,0.4985229390129305,2,2
haar_random,seeqst,200,0.3379697516445693,0.1139515838713278,34.45945728643215,9.47687093968986,0.5473849068193006,0.19827843448917878,2,2
haar_random,seeqst,800,0.13803934236055465,0.07917490670421175,30.34273529411763,2.3513271434723997,0.2152423470377277,0.07648507647098331,2,2
random_stabilizer,clifford,10,0.9355853055502608,0.7743213252377183,17.661111111111072,12.30320785229565,1.6999999999999988,1.3880441875771323,2,2
random_stabilizer,clifford,50,0.5966460622049338,0.3742966318404792,13.995857142857105,3.4994668271628737,1.0199999999999991,0.6799999999999992,2,2
random_stabilizer,clifford,200,0.3044877311523161,0.1084341371691569,15.457506281406983,1.931121821885375,0.5737499999999994,0.24414391247786577,2,2
random_stabilizer,clifford,800,0.12731870926315833,0.057218798153093595,16.311160904255303,1.1685767079884068,0.23343750000000008,0.09015828095632697,2,2
random_stabilizer,pauli,10,1.4971208933332207,0.319643615599492,15.179999999999986,7.830862021514609,2.699999999999999,4.440892098500626e-16,2,2
random_stabilizer,pauli,50,0.5004806112734761,0.284485870157207,32.124306122448935,27.57975969386505,0.8799999999999994,0.5621387729022076,2,2
random_stabilizer,pauli,200,0.27521275557498404,0.18778245984409356,27.008604271356763,22.201822113474407,0.4162499999999998,0.2854929946601141,2,2
random_stabilizer,pauli,800,0.1608161444486618,0.07454762625031144,25.798968867334118,17.858124377238,0.26968749999999975,0.13883584056359496,2,2
random_stabilizer,seeqst,10,1.0062305898749055,0.5904800307094785,15.440000000000003,10.080000000000002,2.2500000000000004,1.3203534880225574,2,2
random_stabilizer,seeqst,50,0.447789065320479,0.22019673924140887,18.658285714285704,12.620964438638477,0.72,0.4026578365477733,2,2
random_stabilizer,seeqst,200,0.2223068264496299,0.13418730647317365,30.679472361809047,5.243744714676201,0.3699999999999998,0.2558645474986061,2,2
random_stabilizer,seeqst,800,0.1729375988999975,0.025110406520102133,30.71876814768472,5.959404075846961,0.29000000000000004,0.06831300510639732,2,2
