state_repeat,obs_repeat,state_type,ensemble,n,m,num_observables,estimator,mom_num_groups,n_sample,rmse,max_error
0,1,haar_random,pauli,10,3,100,mean,1,25000,1.3333339061386922,4.6758217221418
0,1,haar_random,pauli,10,3,100,mean,1,30000,1.194671789711992,3.958035133578065
0,1,haar_random,clifford,10,3,100,mean,1,10,0.02979068739783629,0.07787141365091003
0,1,haar_random,clifford,10,3,100,mean,1,30,3.416216158712678,34.16086312551963
0,1,haar_random,clifford,10,3,100,mean,1,100,2.5094479219909287,10.266531660826944
0,1,haar_random,clifford,10,3,100,mean,1,300,1.529289665447071,6.834149214736808
0,1,haar_random,clifford,10,3,100,mean,1,1000,0.967155353833605,3.0758158814034844
0,1,haar_random,clifford,10,3,100,mean,1,3000,0.5706233926972585,1.3746151715721073
0,1,haar_random,clifford,10,3,100,mean,1,5000,0.4438456210505869,1.2379485049054404
0,1,haar_random,clifford,10,3,100,mean,1,10000,0.32271091795094914,1.0298680816843133
0,1,haar_random,clifford,10,3,100,mean,1,15000,0.2443822133503979,0.6624335370415491
0,1,haar_random,clifford,10,3,100,mean,1,20000,0.20889994344167007,0.594100203708216
0,1,haar_random,clifford,10,3,100,mean,1,25000,0.16660537836212774,0.45586808168431475
0,1,haar_random,clifford,10,3,100,mean,1,30000,0.14859638927101243,0.44903474835098134
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,10,0.029790687397836257,0.07787141365091066
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,30,0.029790687397836257,0.07787141365091066
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,100,2.9049804605035967,20.55787141365091
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,300,1.9403675982202504,6.904538080317578
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,1000,1.2003957154301657,4.083871680987958
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,3000,0.80364765827277,2.079001566354888
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,5000,0.5515617141119274,1.6694015663548882
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,10000,0.44137040886876683,1.180701722141802
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,15000,0.3762141976805445,1.058263204989137
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,20000,0.3212288506931124,0.8875965383224702
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,25000,0.30305286153466154,0.8671165383224703
0,1,haar_random,seeqst_uniform,10,3,100,mean,1,30000,0.2640800675057646,0.7169298716558036
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,10,0.029790687397836257,0.07787141365091066
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,30,2.1242045570260477,12.864844880595042
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,100,1.48669962076247,7.7730652593584315
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,300,1.0413327688882856,3.8762468126320764
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,1000,0.7467278007985922,2.69350009365349
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,3000,0.3905560504238394,0.8926988797187162
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,5000,0.3282440259710479,1.0503336726641652
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,10000,0.21913107538382492,0.6304360219368104
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,15000,0.18539351382585093,0.9002728394705912
