state_type,ensemble,n_sample,rmse_mean,rmse_std,max_error_mean,max_error_std,num_state_repeats,num_observable_repeats
haar_random,clifford,10,5.644496751790218,0.8881740819803376,19.377213329498943,6.151275478630719,3,10
haar_random,clifford,30,3.3752300901033405,0.5301185720412389,10.94774775575525,2.9510169599506435,3,10
haar_random,clifford,100,1.9047257834004094,0.29080795442787677,5.4046917763292015,1.738832413090469,3,10
haar_random,clifford,300,1.0597523426184825,0.15112800443536212,3.0558317402163606,0.7144121975231051,3,10
haar_random,clifford,1000,0.5487389971706087,0.07038299191065228,1.5170193239941554,0.3150153141995249,3,10
haar_random,clifford,3000,0.3228105525786909,0.039700234480315406,0.9130529597027693,0.17287472434191373,3,10
haar_random,clifford,4000,0.2804330079932839,0.03485447731388202,0.7850143979581011,0.12920567135325778,3,10
haar_random,clifford,5000,0.2486733501978258,0.032164095085965204,0.7085843175810644,0.1270654359245138,3,10
haar_random,clifford,6000,0.23605414845595926,0.026270607914167746,0.6881634416015808,0.13041544565337548,3,10
haar_random,pauli,10,15.483456176833323,8.887887072806599,89.14541973608951,47.20897626985137,3,10
haar_random,pauli,30,9.568240964381761,3.3020340452686137,45.054819258429106,16.96514571039463,3,10
haar_random,pauli,100,5.27722155333329,0.9996609960857094,19.44317676739059,7.926286576847007,3,10
haar_random,pauli,300,3.441927228216696,0.6098625510459201,10.961320130594517,3.725057783144504,3,10
haar_random,pauli,1000,1.9055932267659474,0.24868638220503708,5.584254146119185,1.5612263148561725,3,10
haar_random,pauli,3000,1.1054920278384428,0.14248119840684637,3.2353241246353424,0.8990898815190163,3,10
haar_random,pauli,4000,0.9679288860427562,0.1274394489361331,2.8519550701690894,0.6815532342050767,3,10
haar_random,pauli,5000,0.8584975218027585,0.11727222785381695,2.5065507667104483,0.6362999090867039,3,10
haar_random,pauli,6000,0.8084054194362621,0.10077811680789187,2.50205280348496,0.5588986033774527,3,10
haar_random,seeqst_binomial_tuned,10,8.541192797550556,6.466946498076874,52.86760912995338,46.90229324620359,3,10
haar_random,seeqst_binomial_tuned,30,4.220858619358963,2.3782537923640024,22.303017938778275,14.851024719667322,3,10
haar_random,seeqst_binomial_tuned,100,2.58102730977209,0.684328798104747,11.435034319244334,4.108121144598063,3,10
haar_random,seeqst_binomial_tuned,300,3.9430785380355453,1.4521413606962488,19.457055191597284,9.17903842651617,3,10
haar_random,seeqst_binomial_tuned,1000,2.0617460473691147,0.862122530146633,8.8193301367025,5.077963890632537,3,10
haar_random,seeqst_binomial_tuned,3000,1.5891823974748953,0.9089784329360993,6.169516529854236,4.531677212712086,3,10
haar_random,seeqst_binomial_tuned,4000,1.6440045432046262,0.7201254106250499,6.550117766783889,3.3232377353289033,3,10
haar_random,seeqst_binomial_tuned,5000,1.5330720140441718,0.5372781419765704,5.776807474972429,2.445984664693581,3,10
haar_random,seeqst_binomial_tuned,6000,1.4691469919795666,0.3421616381684442,5.619021921325231,1.7041088558277129,3,10
haar_random,seeqst_uniform,10,9.019054748697021,2.574033931283477,33.78439024977491,14.553042653999146,3,10
haar_random,seeqst_uniform,30,4.828716872770872,1.0215455060878476,15.701149160813339,4.412808511350231,3,10
haar_random,seeqst_uniform,100,2.595755447754792,0.6073623488673713,8.2317043925683,3.817396780471578,3,10
haar_random,seeqst_uniform,300,1.5314217325486348,0.25393325730384037,4.862178570141675,2.0259849791779927,3,10
haar_random,seeqst_uniform,1000,0.8009416672381302,0.09027361036016646,2.4529099477381027,0.7463934578728441,3,10
haar_random,seeqst_uniform,3000,0.48353436142546946,0.07021233583779736,1.384621119659355,0.48979189899889186,3,10
haar_random,seeqst_uniform,4000,0.4161283357755502,0.04867405346547741,1.1832962867039358,0.3108425908363203,3,10
haar_random,seeqst_uniform,5000,0.36471897380803253,0.05479500539546136,1.069263005106109,0.31676413002107207,3,10
haar_random,seeqst_uniform,6000,0.33650144802767135,0.051540189092325744,0.9812351253524995,0.3015822635949392,3,10
