state_repeat,obs_repeat,state_type,ensemble,n,l,num_observables,n_sample,rmse,max_error
0,0,haar_random,pauli,7,4,100,10,0.09426603673626589,0.24762601598935016
0,0,haar_random,pauli,7,4,100,100,4.877639032981104,21.987143715998005
0,0,haar_random,pauli,7,4,100,500,1.857087466204641,4.621626015989348
0,0,haar_random,pauli,7,4,100,1000,1.31307214168946,4.336618293870415
0,0,haar_random,pauli,7,4,100,5000,0.6003140698694351,1.451818530553159
0,0,haar_random,pauli,7,4,100,10000,0.5189232141004959,1.2089700787638131
0,0,haar_random,pauli,7,4,100,25000,0.3079002261257569,0.7725060159893501
0,0,haar_random,clifford,7,4,100,10,4.267049444776374,12.93469927044014
0,0,haar_random,clifford,7,4,100,100,1.1841866775418233,3.852420505134733
0,0,haar_random,clifford,7,4,100,500,0.420145870632464,1.4995108017366405
0,0,haar_random,clifford,7,4,100,1000,0.35246970767359065,1.1125108017366416
0,0,haar_random,clifford,7,4,100,5000,0.15994547686920904,0.3643108017366441
0,0,haar_random,clifford,7,4,100,10000,0.12325634307644495,0.28745384928486734
0,0,haar_random,clifford,7,4,100,25000,0.06981689550411123,0.19999680721941854
0,0,haar_random,seeqst_uniform,7,4,100,10,3.61429185937514,25.649094680490006
0,0,haar_random,seeqst_uniform,7,4,100,100,1.499165675115173,4.9674278958057805
0,0,haar_random,seeqst_uniform,7,4,100,500,0.7175458598376596,1.6392299212361867
0,0,haar_random,seeqst_uniform,7,4,100,1000,0.4654732234405452,1.2064156754782525
0,0,haar_random,seeqst_uniform,7,4,100,5000,0.2319565205736609,0.6583916597068719
0,0,haar_random,seeqst_uniform,7,4,100,10000,0.15728510616156838,0.5352478684521025
0,0,haar_random,seeqst_uniform,7,4,100,25000,0.08982711287729653,0.28948786845210245
0,0,haar_random,seeqst_binomial,7,4,100,10,0.7057095823060122,3.604706132284629
0,0,haar_random,seeqst_binomial,7,4,100,100,1.937282886718443,17.537795616350145
0,0,haar_random,seeqst_binomial,7,4,100,500,0.47757082921120275,3.5626052789907123
0,0,haar_random,seeqst_binomial,7,4,100,1000,1.818520429167717,12.355938513249825
0,0,haar_random,seeqst_binomial,7,4,100,5000,0.8128994545693913,5.018963586136121
0,0,haar_random,seeqst_binomial,7,4,100,10000,0.7075996765810629,3.616564348272852
0,0,haar_random,seeqst_binomial,7,4,100,25000,0.43525956818377953,1.5740083444773998
0,0,haar_random,seeqst_unifsize_l,7,4,100,10,4.468006559426038,34.93927213990035
0,0,haar_random,seeqst_unifsize_l,7,4,100,100,1.615008503271181,7.075703484001276
0,0,haar_random,seeqst_unifsize_l,7,4,100,500,0.6916480992447578,1.7237619067690702
0,0,haar_random,seeqst_unifsize_l,7,4,100,1000,0.5166784525679868,1.4757034840012766
0,0,haar_random,seeqst_unifsize_l,7,4,100,5000,0.22612068668213978,0.7439916597068719
0,0,haar_random,seeqst_unifsize_l,7,4,100,10000,0.17170275709652666,0.5585803899498448
0,0,haar_random,seeqst_unifsize_l,7,4,100,25000,0.08579719758664281,0.22540312000291143
0,1,haar_random,pauli,7,4,100,10,0.10579639319324097,0.23660032817613497
0,1,haar_random,pauli,7,4,100,100,3.073677555866871,21.72653120527365
0,1,haar_random,pauli,7,4,100,500,1.6963360940859777,8.604531205273652
0,1,haar_random,pauli,7,4,100,1000,1.2238299475605967,4.309930182912582
0,1,haar_random,pauli,7,4,100,5000,0.6574216119430225,2.265963862323916
0,1,haar_random,pauli,7,4,100,10000,0.5350066396860734,1.449982432026573
0,1,haar_random,pauli,7,4,100,25000,0.2878708706799261,0.687269045958679
0,1,haar_random,clifford,7,4,100,10,3.6513205627626055,13.052912456697822
0,1,haar_random,clifford,7,4,100,100,1.230284939616089,3.8211691592276207
0,1,haar_random,clifford,7,4,100,500,0.4115381664563348,1.0296877622052918
0,1,haar_random,clifford,7,4,100,1000,0.3407065253454955,1.0282858748935824
0,1,haar_random,clifford,7,4,100,5000,0.15172640899556397,0.3574858748935844
0,1,haar_random,clifford,7,4,100,10000,0.11085550933315684,0.2836736214980611
0,1,haar_random,clifford,7,4,100,25000,0.0677561141689149,0.22001749968831388
0,1,haar_random,seeqst_uniform,7,4,100,10,6.76432449310961,25.673904152969946
0,1,haar_random,seeqst_uniform,7,4,100,100,1.5747415415852957,5.043352987226898
0,1,haar_random,seeqst_uniform,7,4,100,500,0.7677316717934978,1.871995112203887
0,1,haar_random,seeqst_uniform,7,4,100,1000,0.5046756172894855,1.5396696021194614
0,1,haar_random,seeqst_uniform,7,4,100,5000,0.19772531846641592,0.5537796073094963
0,1,haar_random,seeqst_uniform,7,4,100,10000,0.13266655164108235,0.33093749968831443
0,1,haar_random,seeqst_uniform,7,4,100,25000,0.0946475963967792,0.2713103600262602
0,1,haar_random,seeqst_binomial,7,4,100,10,0.6098917455761736,3.483727555188693
0,1,haar_random,seeqst_binomial,7,4,100,100,1.972897214734855,17.61681637056272
0,1,haar_random,seeqst_binomial,7,4,100,500,4.946909155391288,24.492099112396435
0,1,haar_random,seeqst_binomial,7,4,100,1000,3.0907996465756673,12.267799443210746
0,1,haar_random,seeqst_binomial,7,4,100,5000,0.9344181593156012,2.5905526573786037
0,1,haar_random,seeqst_binomial,7,4,100,10000,0.7044939123871731,2.545245758708406
