state_repeat,obs_repeat,state_type,ensemble,n,m,num_observables,estimator,mom_num_groups,n_sample,rmse,max_error
0,1,haar_random,pauli,10,2,100,mean,1,25000,1.2603639720752389,4.671337856816643
0,1,haar_random,pauli,10,2,100,mean,1,30000,1.2387693534185076,5.852317856816642
0,1,haar_random,clifford,10,2,100,mean,1,10,14.494048733734056,102.48808484361771
0,1,haar_random,clifford,10,2,100,mean,1,30,5.9162390393041,34.16086312551963
0,1,haar_random,clifford,10,2,100,mean,1,100,2.5092130324747326,10.257463875905202
0,1,haar_random,clifford,10,2,100,mean,1,300,1.281140912941998,3.4588769196136533
0,1,haar_random,clifford,10,2,100,mean,1,1000,0.7752881780279469,2.0753440994980994
0,1,haar_random,clifford,10,2,100,mean,1,3000,0.49554347832250706,1.709067759023476
0,1,haar_random,clifford,10,2,100,mean,1,5000,0.3467494030140711,1.2307344256901436
0,1,haar_random,clifford,10,2,100,mean,1,10000,0.2964238445303085,0.820734425690145
0,1,haar_random,clifford,10,2,100,mean,1,15000,0.2445500753214559,0.6840677590234782
0,1,haar_random,clifford,10,2,100,mean,1,20000,0.21812988820519796,0.6669844256901446
0,1,haar_random,clifford,10,2,100,mean,1,25000,0.19323029313518653,0.5337344256901451
0,1,haar_random,clifford,10,2,100,mean,1,30000,0.17105156383580228,0.513234425690145
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,10,0.03606711833775419,0.07658762708912524
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,30,0.03606711833775419,0.07658762708912524
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,100,3.5410523938715244,20.44324806243332
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,300,1.5201380177218293,6.854521857427154
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,1000,0.8938774024999783,4.108128319012042
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,3000,0.6038640739877477,2.0601283190120423
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,5000,0.5497637582714268,1.6016480624333191
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,10000,0.3858571267978596,1.0361283190120425
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,15000,0.3138603941800958,0.878524659084578
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,20000,0.28258609196117307,0.8207125093352425
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,25000,0.24994965196875235,0.9026325093352425
0,1,haar_random,seeqst_uniform,10,2,100,mean,1,30000,0.2324252003982252,0.6841791760019091
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,10,3.2485167616272244,29.79647677311414
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,30,2.2407588245274095,9.959364156376283
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,100,1.3175558758120796,3.0568198658586545
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,300,0.7251786587454397,2.0120781863242048
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,1000,0.3505411905822387,1.1801777391258594
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,3000,0.24012877216912165,0.6933401411971297
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,5000,0.18374770122515846,0.4747897770206977
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,10000,0.14697731301590963,0.3229860809911297
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,15000,0.12059072318790903,0.38084957547204484
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,20000,0.10258685960598812,0.2492429540360968
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,25000,0.0887457332041167,0.2157839938772303
0,1,haar_random,seeqst_binomial_tuned,10,2,100,mean,1,30000,0.07647191362473749,0.20663520779447986
0,2,haar_random,pauli,10,2,100,mean,1,10,0.02785212663882829,0.07385132748165835
0,2,haar_random,pauli,10,2,100,mean,1,30,0.02785212663882829,0.07385132748165835
0,2,haar_random,pauli,10,2,100,mean,1,100,0.02785212663882829,0.07385132748165835
0,2,haar_random,pauli,10,2,100,mean,1,300,0.02785212663882829,0.07385132748165835
0,2,haar_random,pauli,10,2,100,mean,1,1000,0.02785212663882829,0.07385132748165835
0,2,haar_random,pauli,10,2,100,mean,1,3000,3.4067506000683263,19.68282516593658
0,2,haar_random,pauli,10,2,100,mean,1,5000,2.3608210161980323,11.82804562608784
0,2,haar_random,pauli,10,2,100,mean,1,10000,2.2887185254262,5.950839244845134
0,2,haar_random,pauli,10,2,100,mean,1,15000,1.575392370556765,3.9825392448451344
0,2,haar_random,pauli,10,2,100,mean,1,20000,1.4784133739127876,3.0158919012504106
0,2,haar_random,pauli,10,2,100,mean,1,25000,1.227910215973197,2.425401901250411
0,2,haar_random,pauli,10,2,100,mean,1,30000,1.1669629124176442,3.9151648664219314
0,2,haar_random,clifford,10,2,100,mean,1,10,10.24884626045169,102.48808484361771
0,2,haar_random,clifford,10,2,100,mean,1,30,4.83072356759685,34.16086312551963
0,2,haar_random,clifford,10,2,100,mean,1,100,2.509620040468059,10.273881463618672
0,2,haar_random,clifford,10,2,100,mean,1,300,1.1850431006009543,3.4420141026755617
0,2,haar_random,clifford,10,2,100,mean,1,1000,1.0009057602544806,3.025821625303941
0,2,haar_random,clifford,10,2,100,mean,1,3000,0.5243230719076747,1.3495706146279156
0,2,haar_random,clifford,10,2,100,mean,1,5000,0.37684089648138425,1.201342128329902
0,2,haar_random,clifford,10,2,100,mean,1,10000,0.26225411649763736,0.5911185363812955
0,2,haar_random,clifford,10,2,100,mean,1,15000,0.2570071456072992,0.5911185363812959
0,2,haar_random,clifford,10,2,100,mean,1,20000,0.20637004992661986,0.5190685704086246
0,2,haar_random,clifford,10,2,100,mean,1,25000,0.1827425609401229,0.4695580987495855
0,2,haar_random,clifford,10,2,100,mean,1,30000,0.17430461207713552,0.4832247654162523
0,2,haar_random,seeqst_uniform,10,2,100,mean,1,10,0.02785212663882829,0.07385132748165835
0,2,haar_random,seeqst_uniform,10,2,100,mean,1,30,0.02785212663882829,0.07385132748165835
0,2,haar_random,seeqst_uniform,10,2,100,mean,1,100,4.088737869618088,20.44324806243332
0,2,haar_random,seeqst_uniform,10,2,100,mean,1,300,2.360695712156973,6.864028752928855
0,2,haar_random,seeqst_uniform,10,2,100,mean,1,1000,1.2144128005559496,4.12825222646742
