state_type,ensemble,n_sample,rmse_mean,rmse_std,max_error_mean,max_error_std,num_state_repeats,num_observable_repeats
haar_random,clifford,10,4.095916929799722,5.897417588833246,34.898872584645126,48.57578576927421,20,20
haar_random,clifford,30,3.5704011862579366,2.581961300348532,25.222231113901238,16.145629130343142,20,20
haar_random,clifford,100,2.9212434637510847,1.0072890025341852,11.768597078892263,3.7501272507703667,20,20
haar_random,clifford,300,1.8146260163850245,0.39147860263128126,5.985945737192995,1.695221167804693,20,20
haar_random,clifford,1000,0.9910200423996333,0.12317471648155283,2.933158023033661,0.6297578993506783,20,20
haar_random,clifford,3000,0.5841404596839498,0.07185088728848374,1.5434024712542114,0.27223913727958793,20,20
haar_random,clifford,5000,0.45765654468304556,0.057524116954402064,1.2608137070939662,0.23628098734473385,20,20
haar_random,clifford,10000,0.3153390165761959,0.03983458565802144,0.8932507389352199,0.1613154515464301,20,20
haar_random,clifford,15000,0.25728989199836716,0.027642795128760285,0.7010878783657094,0.12092206912665193,20,20
haar_random,clifford,20000,0.21910775209676048,0.021603918852571288,0.5802191583960089,0.08707720149704512,20,20
haar_random,clifford,25000,0.1989605459964337,0.021766351962128484,0.5301751672699259,0.0817699643840032,20,20
haar_random,clifford,30000,0.17937431410004773,0.018995675299725227,0.48123545113795174,0.07579357826268493,20,20
haar_random,pauli,10,8.887432335044942,71.86168598532629,88.65091139754277,718.6444624068022,20,20
haar_random,pauli,30,6.426482593992941,34.941228882709424,64.04596056600617,349.4524460019384,20,20
haar_random,pauli,100,2.3912324725870575,11.579820330510962,23.694937627158012,115.84260983563398,20,20
haar_random,pauli,300,4.827813576952312,10.518678622173818,39.429555278787966,83.58532354263374,20,20
haar_random,pauli,1000,4.466631501781765,4.366451888143732,33.696590706169026,30.407618019945854,20,20
haar_random,pauli,3000,3.6859925540387017,1.457830122106485,19.267080500154464,5.631021683515053,20,20
haar_random,pauli,5000,2.976400128102337,1.049629377319222,12.725037133299313,3.719054555766632,20,20
haar_random,pauli,10000,2.365825104861434,0.46205229598474745,7.768804387779364,2.716387361484149,20,20
haar_random,pauli,15000,1.9767357666566199,0.3383071880620608,6.210091608027585,1.990609139927298,20,20
haar_random,pauli,20000,1.663615211264372,0.2593775028347881,5.2343121192089965,1.5426107868336023,20,20
haar_random,pauli,25000,1.4812411612125314,0.19879272989771982,4.530150907103407,1.1074930244354584,20,20
haar_random,pauli,30000,1.3349691647060435,0.15760566460316874,4.03475010224223,0.8857990736200092,20,20
haar_random,seeqst_binomial_tuned,10,4.170051905155669,1.624562380395129,25.313346938214266,10.662448316567287,20,20
haar_random,seeqst_binomial_tuned,30,2.5245644645624163,0.6126219437222847,10.9457475934964,3.3976003146502096,20,20
haar_random,seeqst_binomial_tuned,100,1.4022015789675166,0.2205269020490534,5.149812073145383,1.7021111203190187,20,20
haar_random,seeqst_binomial_tuned,300,0.7922357211468214,0.10026880967247474,2.7225847838908934,0.6686202756258536,20,20
haar_random,seeqst_binomial_tuned,1000,0.43569572440463844,0.04424314814911335,1.3485270596577763,0.24427185144408328,20,20
haar_random,seeqst_binomial_tuned,3000,0.24662309890767797,0.025287160909993927,0.7650017116984235,0.13270916159438403,20,20
haar_random,seeqst_binomial_tuned,5000,0.19049993905816792,0.017934580714591596,0.5869734841998149,0.09519646843579128,20,20
haar_random,seeqst_binomial_tuned,10000,0.13424423852500375,0.0125944736990177,0.4159730612639443,0.07205735140973249,20,20
haar_random,seeqst_binomial_tuned,15000,0.11060237502115006,0.011291653158721679,0.3476719934736714,0.06642197236772401,20,20
haar_random,seeqst_binomial_tuned,20000,0.09541926519557041,0.009562684613984943,0.29849882267643024,0.05272826943803778,20,20
haar_random,seeqst_binomial_tuned,25000,0.08512109726380436,0.008356703830556814,0.27084675983267265,0.04725388782616614,20,20
haar_random,seeqst_binomial_tuned,30000,0.07833540684025682,0.00809179766088329,0.24372675234375252,0.04396484124235752,20,20
haar_random,seeqst_uniform,10,5.330988174274544,10.796376436437663,43.069848142637866,83.48854206712083,20,20
haar_random,seeqst_uniform,30,6.067058717741036,5.489691255912167,41.679967615764056,33.30382008731705,20,20
haar_random,seeqst_uniform,100,4.164760224676039,1.543258886109131,20.051005665014856,4.886789564368463,20,20
haar_random,seeqst_uniform,300,2.534496342235192,0.6705016740279586,8.890643555702718,3.21717718846764,20,20
haar_random,seeqst_uniform,1000,1.4230432046588573,0.20628591512495556,4.325898303724998,0.92020691970871,20,20
haar_random,seeqst_uniform,3000,0.8212004175066803,0.09678981503438713,2.3922060918540726,0.5704843999128496,20,20
haar_random,seeqst_uniform,5000,0.6369627079891271,0.06416135481097397,1.7394129816096409,0.32663345187508325,20,20
haar_random,seeqst_uniform,10000,0.44067253635821824,0.053425515972247754,1.1870077649422803,0.22209375390766015,20,20
haar_random,seeqst_uniform,15000,0.3620479623256548,0.0390802830235085,0.9644900813656472,0.16325522335957246,20,20
haar_random,seeqst_uniform,20000,0.31034635795453924,0.03081748565759384,0.8156136189724558,0.1205915232701161,20,20
haar_random,seeqst_uniform,25000,0.2841179388760966,0.027645857081354308,0.7336690487236756,0.10909096213048394,20,20
haar_random,seeqst_uniform,30000,0.2592221450707522,0.028589584766082705,0.6602553804252005,0.09469994871907196,20,20
