repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,seeqst_binomial_q0.5,10,mean,1,100,0.0,4.972135954999581,4.972135954999581
0,seeqst_binomial_q0.5,10,mean,1,300,6.826666666666667,11.798802621666248,11.798802621666248
0,seeqst_binomial_q0.5,10,mean,1,500,0.0,4.972135954999581,4.972135954999581
0,seeqst_binomial_q0.5,10,mean,1,750,0.0,4.972135954999581,4.972135954999581
0,seeqst_binomial_q0.5,10,mean,1,1000,-1.024,3.9481359549995814,3.9481359549995814
1,pauli,10,mean,1,10,2.9249999999999967,7.8971359549995785,7.8971359549995785
1,pauli,10,mean,1,30,18.67499999999999,23.64713595499957,23.64713595499957
1,pauli,10,mean,1,100,2.9474999999999967,7.919635954999578,7.919635954999578
1,pauli,10,mean,1,300,-7.589999999999998,-2.6178640450004167,2.6178640450004167
1,pauli,10,mean,1,500,-5.624999999999999,-0.6528640450004177,0.6528640450004177
1,pauli,10,mean,1,750,-5.5379999999999985,-0.5658640450004171,0.5658640450004171
1,pauli,10,mean,1,1000,-6.916499999999998,-1.944364045000417,1.944364045000417
1,clifford,10,mean,1,10,-1.7769465788138175e-15,4.97213595499958,4.97213595499958
1,clifford,10,mean,1,30,4.110604564664152e-16,4.972135954999581,4.972135954999581
1,clifford,10,mean,1,100,-3.0229659365874728e-15,4.972135954999579,4.972135954999579
1,clifford,10,mean,1,300,-1.4636412059113768e-15,4.97213595499958,4.97213595499958
1,clifford,10,mean,1,500,-1.0249999999999972,3.947135954999584,3.947135954999584
1,clifford,10,mean,1,750,-3.4166666666666607,1.5554692883329206,1.5554692883329206
1,clifford,10,mean,1,1000,-2.0499999999999967,2.9221359549995847,2.9221359549995847
1,seeqst_uniform,10,mean,1,10,0.0,4.972135954999581,4.972135954999581
1,seeqst_uniform,10,mean,1,30,0.0,4.972135954999581,4.972135954999581
1,seeqst_uniform,10,mean,1,100,0.0,4.972135954999581,4.972135954999581
1,seeqst_uniform,10,mean,1,300,-6.826666666666667,-1.8545307116670857,1.8545307116670857
1,seeqst_uniform,10,mean,1,500,-4.096,0.8761359549995813,0.8761359549995813
1,seeqst_uniform,10,mean,1,750,-2.7306666666666666,2.241469288332915,2.241469288332915
1,seeqst_uniform,10,mean,1,1000,-3.072,1.9001359549995813,1.9001359549995813
1,seeqst_binomial_q0.09091,10,mean,1,10,25.937424604112483,30.909560559112066,30.909560559112066
1,seeqst_binomial_q0.09091,10,mean,1,30,0.0,4.972135954999581,4.972135954999581
1,seeqst_binomial_q0.09091,10,mean,1,100,-2.593742460411248,2.3783934945883334,2.3783934945883334
1,seeqst_binomial_q0.09091,10,mean,1,300,-9.510389021507912,-4.5382530665083305,4.5382530665083305
1,seeqst_binomial_q0.09091,10,mean,1,500,-5.187484920822498,-0.2153489658229164,0.2153489658229164
1,seeqst_binomial_q0.09091,10,mean,1,750,-3.804155608603165,1.1679803463964165,1.1679803463964165
1,seeqst_binomial_q0.09091,10,mean,1,1000,-4.668736428740248,0.30339952625933364,0.30339952625933364
1,seeqst_binomial_q0.5,10,mean,1,10,-102.4,-97.42786404500042,97.42786404500042
1,seeqst_binomial_q0.5,10,mean,1,30,-34.13333333333333,-29.161197378333753,29.161197378333753
1,seeqst_binomial_q0.5,10,mean,1,100,-10.24,-5.267864045000419,5.267864045000419
