state_repeat,obs_repeat,state_type,ensemble,n,m,num_terms,num_observables,min_xy,rest_mode,coeff_dist,estimator,mom_num_groups,n_sample,rmse,max_error
0,1,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,10,0.0765732696137779,0.164809115161315
0,1,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,30,19.522420120580176,47.373904227149595
0,1,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,100,9.669480514456913,19.410905779245716
0,1,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,300,7.292033587369895,17.9000767719145
0,1,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,1000,2.4493861022018675,5.364102868502764
0,1,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,3000,1.0001538416009683,1.8886139153459296
0,1,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,10000,0.49795532701820744,1.0584085313318026
0,1,haar_random,seeqst_binomial_tuned,9,2,5,10,1,z,normal,mean,1,10,8.159965101307145,16.535999878891708
0,1,haar_random,seeqst_binomial_tuned,9,2,5,10,1,z,normal,mean,1,30,5.619068198439365,11.023642496912881
0,1,haar_random,seeqst_binomial_tuned,9,2,5,10,1,z,normal,mean,1,100,1.8057457260429417,3.8870358752019585
0,1,haar_random,seeqst_binomial_tuned,9,2,5,10,1,z,normal,mean,1,300,1.86105252798264,3.155504169942118
0,1,haar_random,seeqst_binomial_tuned,9,2,5,10,1,z,normal,mean,1,1000,0.5918615977896297,1.3509997920463181
0,1,haar_random,seeqst_binomial_tuned,9,2,5,10,1,z,normal,mean,1,3000,0.3408195068951606,0.5939642940734597
0,1,haar_random,seeqst_binomial_tuned,9,2,5,10,1,z,normal,mean,1,10000,0.3306059107266238,0.8969831501836875
0,1,haar_random,seeqst_binomial_untuned,9,2,5,10,1,z,normal,mean,1,10,13.897170824284926,37.13293319799503
0,1,haar_random,seeqst_binomial_untuned,9,2,5,10,1,z,normal,mean,1,30,11.131424097958282,26.110257910624885
0,1,haar_random,seeqst_binomial_untuned,9,2,5,10,1,z,normal,mean,1,100,6.067302427238405,16.980974013958253
0,1,haar_random,seeqst_binomial_untuned,9,2,5,10,1,z,normal,mean,1,300,2.621769805089336,5.95700122730906
0,1,haar_random,seeqst_binomial_untuned,9,2,5,10,1,z,normal,mean,1,1000,0.8049010676491433,1.9182361617467214
0,1,haar_random,seeqst_binomial_untuned,9,2,5,10,1,z,normal,mean,1,3000,0.3530208317618035,0.6637188793618695
0,1,haar_random,seeqst_binomial_untuned,9,2,5,10,1,z,normal,mean,1,10000,0.32819462287009477,0.5923276245374423
0,2,haar_random,pauli,9,2,5,10,1,z,normal,mean,1,10,0.0684920889469631,0.1365931462505567
0,2,haar_random,pauli,9,2,5,10,1,z,normal,mean,1,30,0.0684920889469631,0.1365931462505567
0,2,haar_random,pauli,9,2,5,10,1,z,normal,mean,1,100,0.0684920889469631,0.1365931462505567
0,2,haar_random,pauli,9,2,5,10,1,z,normal,mean,1,300,0.0684920889469631,0.1365931462505567
0,2,haar_random,pauli,9,2,5,10,1,z,normal,mean,1,1000,7.4019058998415925,21.966334711321412
0,2,haar_random,pauli,9,2,5,10,1,z,normal,mean,1,3000,4.06230038047076,7.993411525339732
0,2,haar_random,pauli,9,2,5,10,1,z,normal,mean,1,10000,2.7789509267026116,5.026750195275104
0,2,haar_random,clifford,9,2,5,10,1,z,normal,mean,1,10,5.303682491424066,16.770874327938344
0,2,haar_random,clifford,9,2,5,10,1,z,normal,mean,1,30,1.7398211794719782,5.499229345145744
0,2,haar_random,clifford,9,2,5,10,1,z,normal,mean,1,100,4.8188464701763,14.888091739298417
0,2,haar_random,clifford,9,2,5,10,1,z,normal,mean,1,300,2.5602410730113556,5.318448140632927
0,2,haar_random,clifford,9,2,5,10,1,z,normal,mean,1,1000,2.3116282691260706,5.849877971174685
0,2,haar_random,clifford,9,2,5,10,1,z,normal,mean,1,3000,1.0154202978991402,2.755468298829695
0,2,haar_random,clifford,9,2,5,10,1,z,normal,mean,1,10000,0.44404061596283645,0.8255857265204258
0,2,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,10,0.0684920889469631,0.1365931462505567
0,2,haar_random,seeqst_uniform,9,2,5,10,1,z,normal,mean,1,30,5.213700794172986,16.4857654749511
