state_repeat,obs_repeat,state_type,ensemble,n,m,num_terms,num_observables,min_xy,rest_mode,coeff_dist,estimator,mom_num_groups,n_sample,rmse,max_error
0,0,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,10,0.28921149887414915,0.8563796578194633
0,0,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,30,5.573850979371178,13.091240799947288
0,0,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,100,2.3350309219526726,5.977524212868343
0,0,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,300,4.130230447181557,10.059364232525425
0,0,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,1000,2.2059783865507625,4.640945464653994
0,0,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,3000,0.6405261640659276,1.2140214978186672
0,0,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,10000,0.5055381524955354,1.1679897481014028
0,0,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,10,5.451155978403253,12.646817168195593
0,0,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,30,2.247113144030474,3.6012825830245947
0,0,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,100,1.3955130370058082,2.388468395417301
0,0,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,300,0.9619571263237371,1.6654061476918245
0,0,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,1000,0.6056942686913035,1.0014934730826637
0,0,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,3000,0.29702642891481945,0.4840812277119716
0,0,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,10000,0.16429623784233355,0.2305838752440837
0,0,haar_random,seeqst_uniform,6,5,5,10,1,random,normal,mean,1,10,3.4514033723569884,9.720313865846352
0,0,haar_random,seeqst_uniform,6,5,5,10,1,random,normal,mean,1,30,3.8315177018641466,8.558164289409117
0,0,haar_random,seeqst_uniform,6,5,5,10,1,random,normal,mean,1,100,1.8433210380019664,2.574829402301426
0,0,haar_random,seeqst_uniform,6,5,5,10,1,random,normal,mean,1,300,2.323057886904277,6.084855908484822
0,0,haar_random,seeqst_uniform,6,5,5,10,1,random,normal,mean,1,1000,1.2211700908494951,3.1414704620780967
0,0,haar_random,seeqst_uniform,6,5,5,10,1,random,normal,mean,1,3000,0.4940615800109344,0.813376139865615
0,0,haar_random,seeqst_uniform,6,5,5,10,1,random,normal,mean,1,10000,0.35149929583824835,0.7827145826262812
0,0,haar_random,seeqst_binomial_tuned,6,5,5,10,1,random,normal,mean,1,10,3.6058999964976013,11.314698159974691
0,0,haar_random,seeqst_binomial_tuned,6,5,5,10,1,random,normal,mean,1,30,1.281793064924741,3.864017708567261
0,0,haar_random,seeqst_binomial_tuned,6,5,5,10,1,random,normal,mean,1,100,0.7995670658796328,1.869602932609303
0,0,haar_random,seeqst_binomial_tuned,6,5,5,10,1,random,normal,mean,1,300,0.7460249397499876,1.7799533060183241
0,0,haar_random,seeqst_binomial_tuned,6,5,5,10,1,random,normal,mean,1,1000,0.9351826691032512,2.574653146093258
0,0,haar_random,seeqst_binomial_tuned,6,5,5,10,1,random,normal,mean,1,3000,1.9396360329183553,6.059006991624394
0,0,haar_random,seeqst_binomial_tuned,6,5,5,10,1,random,normal,mean,1,10000,1.6808972323957057,3.876568955295834
0,0,haar_random,seeqst_binomial_untuned,6,5,5,10,1,random,normal,mean,1,10,12.018288271321149,36.79062547327238
0,0,haar_random,seeqst_binomial_untuned,6,5,5,10,1,random,normal,mean,1,30,3.8810873514707525,11.82003328556781
0,0,haar_random,seeqst_binomial_untuned,6,5,5,10,1,random,normal,mean,1,100,2.033659184932857,3.8180622869804974
0,0,haar_random,seeqst_binomial_untuned,6,5,5,10,1,random,normal,mean,1,300,2.0063226408361796,5.766042382911751
0,0,haar_random,seeqst_binomial_untuned,6,5,5,10,1,random,normal,mean,1,1000,1.329367329813648,2.8036111930649437
0,0,haar_random,seeqst_binomial_untuned,6,5,5,10,1,random,normal,mean,1,3000,4.189783715636742,10.828554348393803
0,0,haar_random,seeqst_binomial_untuned,6,5,5,10,1,random,normal,mean,1,10000,1.5965023369272877,4.40905584835854
0,1,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,10,0.9907231085611993,2.8291583368661692
0,1,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,30,0.987605318998675,2.3909461794849842
0,1,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,100,3.5916663319857123,8.039820768263432
0,1,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,300,2.58895469616486,5.291835093221499
0,1,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,1000,1.2040148790254066,1.9870240553027019
0,1,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,3000,0.4218957337989302,0.8312244177223291
0,1,haar_random,pauli,6,5,5,10,1,random,normal,mean,1,10000,0.3428222656966254,0.5226876667959169
0,1,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,10,3.7890946596919948,9.110146218680658
0,1,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,30,2.374253365306382,5.229945384946771
0,1,haar_random,clifford,6,5,5,10,1,random,normal,mean,1,100,1.5036481803896298,4.059721971404462
