state_type,ensemble,n_sample,rmse_mean,rmse_std,max_error_mean,max_error_std,num_state_repeats,num_observable_repeats
haar_random,clifford,10,0.13032947787147922,,0.18523374067363474,,1,1
haar_random,clifford,50,0.9613606971012648,,1.5052337406736322,,1,1
haar_random,clifford,200,0.3717718131835896,,0.6173621129834549,,1,1
haar_random,pauli,10,1.2045347586621262,,2.514766259326364,,1,1
haar_random,pauli,50,0.8840026649634326,,1.4998718718700148,,1,1
haar_random,pauli,200,0.5237565473019378,,1.094871871870015,,1,1
haar_random,seeqst_binomial_tuned,10,0.13032947787147922,,0.18523374067363474,,1,1
haar_random,seeqst_binomial_tuned,50,0.9330713620251992,,1.342641148081042,,1,1
haar_random,seeqst_binomial_tuned,200,0.2524505273375478,,0.4585755755737192,,1,1
haar_random,seeqst_binomial_untuned,10,0.13032947787147922,,0.18523374067363474,,1,1
haar_random,seeqst_binomial_untuned,50,1.4590677254841509,,2.3070396727354683,,1,1
haar_random,seeqst_binomial_untuned,200,0.4094288396257019,,0.6608873665291691,,1,1
haar_random,seeqst_uniform,10,2.78114857508148,,6.214766259326366,,1,1
haar_random,seeqst_uniform,50,1.1849897977408492,,2.3747662593263654,,1,1
haar_random,seeqst_uniform,200,0.384796558167228,,0.7747662593263652,,1,1
haar_random,seeqst_unifsize_tuned,10,0.13032947787147922,,0.18523374067363474,,1,1
haar_random,seeqst_unifsize_tuned,50,0.6260992971480064,,1.3812803272645318,,1,1
haar_random,seeqst_unifsize_tuned,200,0.5118452287564969,,1.0201281281299845,,1,1
