state_type,n,k,ensemble,pauli_index,pauli_label,true_value,empirical_mean,abs_bias,empirical_var,theory_var_bound,sample_complexity_eps,num_shots
haar_random,2,1,pauli,0,YI,0.33108385877829294,0.18999999999999997,0.14108385877829296,2.823311036789305,3.0,282.33110367893045,300
haar_random,2,1,pauli,1,IX,0.4426388554914483,0.4799999999999999,0.0373611445085516,2.2370568561872908,3.0,223.70568561872904,300
haar_random,2,1,pauli,2,IX,0.4426388554914483,0.4799999999999999,0.0373611445085516,2.2370568561872908,3.0,223.70568561872904,300
haar_random,2,1,pauli,3,IX,0.4426388554914483,0.4799999999999999,0.0373611445085516,2.2370568561872908,3.0,223.70568561872904,300
haar_random,2,1,pauli,4,YI,0.33108385877829294,0.18999999999999997,0.14108385877829296,2.823311036789305,3.0,282.33110367893045,300
haar_random,2,1,pauli,5,YI,0.33108385877829294,0.18999999999999997,0.14108385877829296,2.823311036789305,3.0,282.33110367893045,300
haar_random,2,1,clifford,0,YI,0.33108385877829294,0.5166666666666666,0.18558280788837367,5.166945373467086,12.0,516.6945373467084,300
haar_random,2,1,clifford,1,IX,0.4426388554914483,0.6499999999999998,0.20736114450855148,4.341973244147145,12.0,434.1973244147144,300
haar_random,2,1,clifford,2,IX,0.4426388554914483,0.6499999999999998,0.20736114450855148,4.341973244147145,12.0,434.1973244147144,300
haar_random,2,1,clifford,3,IX,0.4426388554914483,0.6499999999999998,0.20736114450855148,4.341973244147145,12.0,434.1973244147144,300
haar_random,2,1,clifford,4,YI,0.33108385877829294,0.5166666666666666,0.18558280788837367,5.166945373467086,12.0,516.6945373467084,300
haar_random,2,1,clifford,5,YI,0.33108385877829294,0.5166666666666666,0.18558280788837367,5.166945373467086,12.0,516.6945373467084,300
haar_random,2,1,seeqst,0,YI,0.33108385877829294,0.6933333333333334,0.3622494745550404,8.0795540691193,,807.9554069119299,300
haar_random,2,1,seeqst,1,IX,0.4426388554914483,0.6933333333333334,0.25069447784188503,8.079554069119304,,807.9554069119303,300
haar_random,2,1,seeqst,2,IX,0.4426388554914483,0.6933333333333334,0.25069447784188503,8.079554069119304,,807.9554069119303,300
haar_random,2,1,seeqst,3,IX,0.4426388554914483,0.6933333333333334,0.25069447784188503,8.079554069119304,,807.9554069119303,300
haar_random,2,1,seeqst,4,YI,0.33108385877829294,0.6933333333333334,0.3622494745550404,8.0795540691193,,807.9554069119299,300
haar_random,2,1,seeqst,5,YI,0.33108385877829294,0.6933333333333334,0.3622494745550404,8.0795540691193,,807.9554069119299,300
haar_random,2,2,pauli,0,ZX,-0.5991083803888476,-0.6599999999999999,0.0608916196111523,9.315451505016688,9.0,931.5451505016686,300
haar_random,2,2,pauli,1,ZY,-0.2795274391233823,-0.12,0.1595274391233823,10.279866220735801,9.0,1027.9866220735798,300
haar_random,2,2,pauli,2,ZY,-0.2795274391233823,-0.12,0.1595274391233823,10.279866220735801,9.0,1027.9866220735798,300
haar_random,2,2,pauli,3,XZ,0.7531462292278572,0.8999999999999998,0.14685377077214257,10.023411371237415,9.0,1002.3411371237413,300
haar_random,2,2,pauli,4,ZZ,-0.03757998721056055,-0.15,0.11242001278943944,6.750000000000019,9.0,675.0000000000017,300
haar_random,2,2,pauli,5,ZX,-0.5991083803888476,-0.6599999999999999,0.0608916196111523,9.315451505016688,9.0,931.5451505016686,300
haar_random,2,2,clifford,0,ZX,-0.5991083803888476,-0.7499999999999999,0.15089161961115227,4.201505016722407,12.0,420.1505016722406,300
haar_random,2,2,clifford,1,ZY,-0.2795274391233823,-0.3999999999999999,0.12047256087661762,5.525083612040145,12.0,552.5083612040144,300
