state_type,n,k,ensemble,mean_empirical_var,max_empirical_var,theory_var_bound,mean_sample_complexity,max_sample_complexity,mean_abs_bias,num_observables
haar_random,3,2,clifford,8.572575250836111,10.261806020066905,24.0,857.2575250836111,1026.1806020066902,0.09000542705010721,6
haar_random,3,2,pauli,8.42162207357859,10.063143812708981,9.0,842.1622073578588,1006.3143812708979,0.08509761700248819,6
haar_random,3,2,seeqst,15.024659977703474,18.824704570791564,,1502.465997770347,1882.470457079156,0.16434682744195628,6
haar_random,3,3,clifford,10.202809364548491,11.3092976588629,24.0,1020.2809364548489,1130.9297658862897,0.17776175342626174,6
haar_random,3,3,pauli,32.134515050167316,40.78986622073585,27.0,3213.4515050167306,4078.9866220735844,0.35554087614436,6
haar_random,3,3,seeqst,18.86323299888517,22.21520624303239,,1886.3232998885167,2221.5206243032385,0.24899797028501872,6
haar_random,4,1,clifford,18.503625046451095,22.227547380156054,48.0,1850.362504645109,2222.7547380156047,0.10747746217398539,6
haar_random,4,1,pauli,2.8111371237458163,3.180602006688955,3.0,281.11371237458155,318.06020066889545,0.09449687035923011,6
haar_random,4,1,seeqst,12.060371609067275,34.247491638795985,,1206.0371609067272,3424.7491638795977,0.08175300238872635,6
haar_random,4,2,clifford,20.932900408770003,27.872229654403643,48.0,2093.2900408769997,2787.2229654403636,0.20075476110925006,6
haar_random,4,2,pauli,8.942658862876256,9.820234113712344,9.0,894.2658862876252,982.0234113712341,0.15879985981243133,6
haar_random,4,2,seeqst,22.932701597919003,33.51687848383509,,2293.2701597919,3351.6878483835085,0.18184790340817106,6
haar_random,4,3,clifford,16.678446674098833,22.201772575250892,48.0,1667.844667409883,2220.177257525089,0.146382024487783,6
haar_random,4,3,pauli,28.32832775919734,41.37501672240783,27.0,2832.832775919733,4137.501672240782,0.27272064233346655,6
haar_random,4,3,seeqst,37.95953920475644,64.51085841694483,,3795.9539204756425,6451.085841694481,0.4125638586238552,6
haar_random,4,4,clifford,17.837238944630226,28.790457079152755,48.0,1783.723894463022,2879.0457079152748,0.1689222899501012,6
haar_random,4,4,pauli,83.85938127090277,131.65886287625403,81.0,8385.938127090276,13165.8862876254,0.32995750499443727,6
haar_random,4,4,seeqst,29.597443329617246,33.83652173913052,,2959.744332961724,3383.6521739130512,0.28365238262810455,6
random_stabilizer,2,1,clifford,4.848894463024895,5.086677814938665,12.0,484.88944630248943,508.6677814938664,0.11388888888888887,6
random_stabilizer,2,1,pauli,3.3254013377926355,3.7624414715718966,3.0,332.54013377926344,376.24414715718956,0.01833333333333334,6
random_stabilizer,2,1,seeqst,8.722289111854332,9.392374581939775,,872.2289111854329,939.2374581939773,0.1288888888888889,6
random_stabilizer,2,2,clifford,4.235925306577481,5.595039018952037,12.0,423.59253065774806,559.5039018952036,0.047222222222222006,6
random_stabilizer,2,2,pauli,8.734063545150518,9.391304347826125,9.0,873.4063545150516,939.1304347826124,0.16833333333333353,6
random_stabilizer,2,2,seeqst,7.38176142697881,8.122363433667818,,738.176142697881,812.2363433667816,0.03999999999999984,6
random_stabilizer,3,1,clifford,9.464147157190636,11.36347826086956,24.0,946.4147157190633,1136.3478260869558,0.1299999999999999,6
random_stabilizer,3,1,pauli,3.0380434782608714,3.4389632107023442,3.0,303.80434782608705,343.89632107023436,0.07166666666666666,6
random_stabilizer,3,1,seeqst,6.514529914529894,16.941092530657766,,651.4529914529893,1694.1092530657763,0.15555555555555559,6
random_stabilizer,3,2,clifford,8.445852842809368,9.43735785953179,24.0,844.5852842809364,943.7357859531788,0.1799999999999999,6
random_stabilizer,3,2,pauli,9.987591973244141,11.626254180602016,9.0,998.759197324414,1162.6254180602014,0.14999999999999994,6
random_stabilizer,3,2,seeqst,12.89821627647715,20.537079152731376,,1289.8216276477149,2053.707915273137,0.11,6
random_stabilizer,3,3,clifford,8.809765886287616,10.290702341137111,24.0,880.9765886287615,1029.070234113711,0.15999999999999984,6
random_stabilizer,3,3,pauli,30.798963210702322,50.99749163879581,27.0,3079.8963210702314,5099.74916387958,0.2399999999999999,6
random_stabilizer,3,3,seeqst,18.521709401709348,23.4138684503902,,1852.1709401709343,2341.3868450390196,0.3466666666666667,6
random_stabilizer,4,1,clifford,18.02464325529535,20.526410256410095,48.0,1802.4643255295348,2052.641025641009,0.3716666666666664,6
random_stabilizer,4,1,pauli,2.907976588628768,3.189030100334462,3.0,290.79765886287674,318.90301003344615,0.08166666666666668,6
random_stabilizer,4,1,seeqst,33.3894017094017,37.66082497212912,,3338.9401709401695,3766.082497212911,0.27777777777777785,6
random_stabilizer,4,2,clifford,18.65881085098474,22.1502229654404,48.0,1865.8810850984735,2215.0222965440394,0.13222222222222213,6
random_stabilizer,4,2,pauli,8.326505016722427,10.236521739130481,9.0,832.6505016722425,1023.6521739130479,0.13499999999999998,6
random_stabilizer,4,2,seeqst,28.286428836863575,58.2093199554065,,2828.6428836863565,5820.931995540649,0.06333333333333334,6
random_stabilizer,4,3,clifford,17.310466369379384,25.117547380156036,48.0,1731.0466369379383,2511.7547380156034,0.23277777777777764,6
random_stabilizer,4,3,pauli,30.04991638795983,38.71745819397993,27.0,3004.991638795982,3871.7458193979924,0.3583333333333332,6
random_stabilizer,4,3,seeqst,39.69284280936461,51.26849498327746,,3969.284280936461,5126.849498327745,0.27333333333333326,6
random_stabilizer,4,4,clifford,18.441872909698976,21.2642140468227,48.0,1844.1872909698975,2126.42140468227,0.15444444444444425,6
random_stabilizer,4,4,pauli,83.66433110367882,196.8299999999999,81.0,8366.43311036788,19682.999999999985,0.41833333333333306,6
random_stabilizer,4,4,seeqst,34.62231140839828,64.51085841694484,,3462.2311408398273,6451.085841694483,0.4333333333333333,6
