state_type,ensemble,term_group,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,num_terms,num_repeats
ground_state,clifford,hopping,10,0.7897962621132981,0.18963709254625263,9.633333333333313,6.8117953254303965,1.2237882914600342,0.058910010220837195,6,2
ground_state,clifford,hopping,50,0.7392923786574976,0.32372067256298054,18.25418367346935,5.101895682516241,1.3183443322930768,0.7690327768424755,6,2
ground_state,clifford,hopping,200,0.31039891961397204,0.007213885692030269,18.28154941373531,2.78462085288322,0.5533443322930773,0.04778386003219783,6,2
ground_state,clifford,hopping,800,0.09516000420993109,0.038150823055649465,16.681400709219844,0.061063184003012534,0.17084433229307758,0.04778386003219787,6,2
ground_state,clifford,z_single,10,0.789271483704362,0.00222179618148521,19.668055555555526,5.108846494072798,0.8499999999999992,0.008252237028938207,4,2
ground_state,clifford,z_single,50,0.4634220485207036,0.1900868157298015,10.056020408163242,2.0435385976291176,0.6741647872368784,0.24041630560342592,4,2
ground_state,clifford,z_single,200,0.2401192772720765,0.060317472780251645,13.642179648241163,0.5673643593919933,0.3399999999999999,0.00825223702893907,4,2
ground_state,clifford,z_single,800,0.1323760930588006,0.041081802126256964,14.361382978723299,0.29204826485198615,0.1849879633546515,0.01502601910021397,4,2
ground_state,clifford,zz_long_range,10,0.9035782101853561,0.014106698396487918,25.153703703703663,8.325527619970504,1.1004603788117429,0.0,3,2
ground_state,clifford,zz_long_range,50,0.5422737479230817,0.4966909986919119,24.181632653061186,1.44576880376484,0.8499999999999991,0.8350370757595232,3,2
ground_state,clifford,zz_long_range,200,0.34734450788455673,0.0869708252947436,18.10969849246223,2.669949926550617,0.4249999999999996,0.11378815894924564,3,2
ground_state,clifford,zz_long_range,800,0.1111935138727772,0.050250483597238105,15.787695035461045,0.32183388427423587,0.15636426884221086,0.05575586798911401,3,2
ground_state,pauli,hopping,10,1.238111568339324,0.010305020708649294,12.22499999999999,1.3788582233137654,1.7999999999999992,0.540417139136868,6,2
ground_state,pauli,hopping,50,0.4218029260590085,0.12342595279663142,8.876938775510194,0.24936337099803194,0.6299999999999998,0.09597896393102444,6,2
ground_state,pauli,hopping,200,0.20877572397061295,0.07679590084145888,8.956130653266337,0.65622351934438,0.3633443322930775,0.09021026690339073,6,2
ground_state,pauli,hopping,800,0.10041333789374655,0.021151990647339143,8.918690941802303,0.2886930476003149,0.19459433229307757,0.04248055917329879,6,2
ground_state,pauli,z_single,10,0.43759454080960125,0.13470099106995745,2.112499999999998,0.5126524163602467,0.6586509119411132,0.16190783026026634,4,2
ground_state,pauli,z_single,50,0.2615183818295275,0.0487379843925507,2.5934693877551003,0.3026128408465697,0.42134908805888655,0.007797797224504545,4,2
ground_state,pauli,z_single,200,0.10151476265811259,0.04122831832320404,2.411485552763816,0.2338915577292806,0.15134908805888636,0.03462860964668826,4,2
ground_state,pauli,z_single,800,0.07028598182513943,0.0311056891643394,2.4142795682102554,0.009398590758704002,0.1288490880588864,0.05053851222338556,4,2
ground_state,pauli,zz_long_range,10,0.6953376654200265,0.06614322470327301,5.099999999999998,7.212489168102781,0.9820412729097054,0.14174689321700862,3,2
ground_state,pauli,zz_long_range,50,0.5868989025779009,0.24299033871813094,10.017551020408158,2.1663442855454007,0.779539621188255,0.25455844122715704,3,2
ground_state,pauli,zz_long_range,200,0.12621345426692143,0.05481010829148263,8.5036432160804,0.9987261456688467,0.15136426884221088,0.061059168848012726,3,2
