repeat,state_type,ensemble,n,n_sample,term_group,num_terms,rmse,mean_variance,max_error
0,ground_state,pauli,4,10,z_single,4,0.5328425250277168,2.474999999999998,0.7731370366453482
0,ground_state,pauli,4,10,zz_long_range,3,0.6485673427027966,10.199999999999996,1.0822714623155776
0,ground_state,pauli,4,10,hopping,6,1.2308248183159705,11.249999999999991,1.4178673762468859
0,ground_state,pauli,4,50,z_single,4,0.29598134109486424,2.807448979591835,0.41583521276312174
0,ground_state,pauli,4,50,zz_long_range,3,0.41507878630749445,11.549387755102037,0.599539621188255
0,ground_state,pauli,4,50,hopping,6,0.5090782542559172,9.053265306122439,0.6978673762468862
0,ground_state,pauli,4,200,z_single,4,0.13066758612136775,2.5768718592964754,0.17583521276312153
0,ground_state,pauli,4,200,zz_long_range,3,0.08745685501644507,9.209849246231146,0.10818891649616669
0,ground_state,pauli,4,200,hopping,6,0.15447282171828766,8.492110552763824,0.2995560408330415
0,ground_state,pauli,4,800,z_single,4,0.09228102556672474,2.4209253754693325,0.16458521276312155
0,ground_state,pauli,4,800,zz_long_range,3,0.11134808057021496,9.060248748435505,0.15421037881174482
0,ground_state,pauli,4,800,hopping,6,0.08545662187141861,8.714554130162709,0.1645560408330416
0,ground_state,clifford,4,10,z_single,4,0.7877004365580195,16.05555555555553,0.8441647872368783
0,ground_state,clifford,4,10,zz_long_range,3,0.8936032680890461,19.26666666666662,1.1004603788117429
0,ground_state,clifford,4,10,hopping,6,0.655702588009342,4.816666666666655,1.1821326237531116
0,ground_state,clifford,4,50,z_single,4,0.5978337249374039,8.611020408163245,0.8441647872368783
0,ground_state,clifford,4,50,zz_long_range,3,0.8934873212524512,23.159319727891102,1.4404603788117427
0,ground_state,clifford,4,50,hopping,6,0.5103872958779441,14.646598639455744,0.7745560408330414
0,ground_state,clifford,4,200,z_single,4,0.19746838324512556,14.043366834170802,0.33416478723687837
0,ground_state,clifford,4,200,zz_long_range,3,0.40884216821586045,19.997638190954692,0.5054603788117439
0,ground_state,clifford,4,200,hopping,6,0.3154999071055113,16.312525125628117,0.5195560408330414
0,ground_state,clifford,4,800,z_single,4,0.16142531392564083,14.154873670212694,0.1956129633546514
0,ground_state,clifford,4,800,zz_long_range,3,0.07566105616326677,15.560124113475126,0.11693891649616639
