state_type,ensemble,n_sample,energy_error_mean,energy_abs_error_mean,energy_abs_error_std,energy_rmse,energy_variance_mean,energy_variance_naive_mean,true_energy,num_repeats
ground_state,clifford,10,2.5867860978479875,2.5867860978479875,0.5409366876077086,2.6149127262720677,99.58056944444422,76.13945833333318,-2.6692860978479853,2
ground_state,clifford,50,1.1842860978479877,1.8529999999999989,1.6748334613065345,2.199123134696193,95.41246530612227,85.12848877551002,-2.6692860978479853,2
ground_state,clifford,200,0.30028609784798865,0.42500000000000027,0.42466867216871984,0.520381341480238,112.09307939698473,98.20417870602992,-2.6692860978479853,2
ground_state,clifford,800,0.2567235978479787,0.2567235978479787,0.033057242020471306,0.25778556266209074,106.76192945478707,97.52789906914894,-2.6692860978479853,2
ground_state,pauli,10,1.0617860978479865,1.2074999999999998,1.5015922999158287,1.6079322024212506,27.97112499999998,30.40112499999998,-2.6692860978479853,2
ground_state,pauli,50,-0.2117139021520127,0.6540000000000012,0.29940867176630676,0.6874145593195082,25.23303367346937,36.298414285714244,-2.6692860978479853,2
ground_state,pauli,200,0.15691109784797774,0.15691109784797774,0.1649326567117622,0.19550571156070518,30.203845948492443,33.596896262562794,-2.6692860978479853,2
ground_state,pauli,800,0.007473597848012048,0.18018749999999617,0.010569263436381015,0.1803424237971821,29.762026713078825,33.59336275813513,-2.6692860978479853,2
ground_state,seeqst,10,0.9742860978479848,0.9742860978479848,0.5444722215136409,1.0475964874224486,7.763611111111111,5.098388888888888,-2.6692860978479853,2
ground_state,seeqst,50,0.8652860978479859,1.5859999999999994,1.2236993349095147,1.806686478371107,94.64937551020405,51.53284897959183,-2.6692860978479853,2
ground_state,seeqst,200,0.39653609784798927,0.7672499999999995,0.5607867275471311,0.8636628042219425,71.89729635678393,44.2813953517588,-2.6692860978479853,2
ground_state,seeqst,800,0.19978609784797374,0.4980000000000029,0.28254020915020267,0.5365803620086399,91.20305707133916,50.825518476220594,-2.6692860978479853,2
neel,clifford,10,1.1225000000000018,3.6974999999999976,1.587454723763802,3.864131532440373,106.53262499999983,90.47706944444428,-1.7999999999999998,2
neel,clifford,50,0.4935000000000036,0.4935000000000036,0.10818733752154147,0.49939413292509105,118.49722499999979,98.73581785714265,-1.7999999999999998,2
neel,clifford,200,0.04937500000000439,0.057374999999999954,0.06982679464217777,0.0756953185474533,117.09059192839176,100.71300549623089,-1.7999999999999998,2
neel,clifford,800,0.1997187499999924,0.2385312499999992,0.28244496491019083,0.3111024531052778,112.77066140292534,97.51373673537192,-1.7999999999999998,2
neel,pauli,10,-0.797499999999999,0.797499999999999,0.20152543263816677,0.8101311622200436,41.30312499999997,38.152874999999966,-1.7999999999999998,2
neel,pauli,50,-0.47949999999999804,0.47949999999999804,0.43062802974260744,0.5680145244621815,31.60488214285712,34.63160969387753,-1.7999999999999998,2
neel,pauli,200,0.021499999999991637,0.021499999999991637,0.010606601717800498,0.022770595073464035,35.87690351758791,32.220696482412016,-1.7999999999999998,2
neel,pauli,800,-0.07337499999997199,0.13950000000000262,0.10376792013908624,0.1576202417997023,32.70516857008759,31.756114170056392,-1.7999999999999998,2
neel,seeqst,10,0.7549999999999997,0.925,1.0677312395916863,1.194005862632173,118.15872222222221,55.67150000000001,-1.7999999999999998,2
neel,seeqst,50,2.6109999999999993,2.6109999999999993,0.9206530291048852,2.690933295345687,97.20650816326531,54.71838163265309,-1.7999999999999998,2
neel,seeqst,200,-0.09349999999999836,0.4284999999999992,0.13222896808188206,0.438582375386881,104.62607587939696,54.835817085427124,-1.7999999999999998,2
neel,seeqst,800,0.1761249999999832,0.1761249999999832,0.23475945135393209,0.24202482439822923,95.08301525344179,50.16049375782227,-1.7999999999999998,2
