repeat,state_type,ensemble,n,n_sample,true_energy,energy_estimate,energy_error,energy_abs_error,energy_variance,energy_variance_naive
0,ground_state,pauli,4,10,-2.6692860978479853,-2.8149999999999986,-0.1457139021520133,0.1457139021520133,40.652249999999974,37.17474999999998
0,ground_state,pauli,4,50,-2.6692860978479853,-3.5349999999999993,-0.8657139021520139,0.8657139021520139,26.326147959183658,37.811727551020375
0,ground_state,pauli,4,200,-2.6692860978479853,-2.6290000000000076,0.040286097847977764,0.040286097847977764,32.60578793969847,34.33505766331655
0,ground_state,pauli,4,800,-2.6692860978479853,-2.8419999999999694,-0.17271390215198412,0.17271390215198412,30.821262578222754,33.80547834011242
0,ground_state,clifford,4,10,-2.6692860978479853,0.30000000000000204,2.9692860978479874,2.9692860978479874,135.0272222222219,101.31055555555535
0,ground_state,clifford,4,50,-2.6692860978479853,0.36800000000000144,3.0372860978479865,3.0372860978479865,79.38181224489782,76.51186530612227
0,ground_state,clifford,4,200,-2.6692860978479853,-2.793999999999997,-0.12471390215201161,0.12471390215201161,127.58870753768824,104.1579236180902
0,ground_state,clifford,4,800,-2.6692860978479853,-2.3891875000000065,0.28009859784797886,0.28009859784797886,108.7579962101062,97.5160115026597
0,ground_state,seeqst,4,10,-2.6692860978479853,-2.08,0.5892860978479852,0.5892860978479852,4.6528888888888895,5.334888888888889
0,ground_state,seeqst,4,50,-2.6692860978479853,-3.389999999999999,-0.7207139021520135,0.7207139021520135,104.29969387755098,56.78155510204082
0,ground_state,seeqst,4,200,-2.6692860978479853,-3.0399999999999956,-0.3707139021520103,0.3707139021520103,67.33618090452262,43.84836432160795
0,ground_state,seeqst,4,800,-2.6692860978479853,-2.9675000000000145,-0.29821390215202914,0.29821390215202914,93.3019712140175,52.58801104505668
0,neel,pauli,4,10,-1.7999999999999998,-2.4549999999999983,-0.6549999999999985,0.6549999999999985,41.85524999999996,47.34874999999996
0,neel,pauli,4,50,-1.7999999999999998,-1.9749999999999979,-0.17499999999999805,0.17499999999999805,30.276045918367327,36.240786734693856
0,neel,pauli,4,200,-1.7999999999999998,-1.7860000000000098,0.01399999999999002,0.01399999999999002,34.62608442211052,33.52105288944717
0,neel,pauli,4,800,-1.7999999999999998,-2.0128749999999744,-0.2128749999999746,0.2128749999999746,32.1551469180225,31.684249796620996
0,neel,clifford,4,10,-1.7999999999999998,3.0199999999999996,4.819999999999999,4.819999999999999,51.987888888888754,59.22894444444432
0,neel,clifford,4,50,-1.7999999999999998,-1.2299999999999964,0.5700000000000034,0.5700000000000034,109.55459183673449,108.85568367346914
0,neel,clifford,4,200,-1.7999999999999998,-1.8079999999999954,-0.007999999999995566,0.007999999999995566,109.79066432160784,101.06192035175852
0,neel,clifford,4,800,-1.7999999999999998,-1.3617500000000082,0.4382499999999916,0.4382499999999916,107.62119468085088,93.43224640957362
0,neel,seeqst,4,10,-1.7999999999999998,-0.1200000000000001,1.6799999999999997,1.6799999999999997,4.628444444444446,3.973111111111111
0,neel,seeqst,4,50,-1.7999999999999998,0.15999999999999925,1.959999999999999,1.959999999999999,60.07510204081633,34.24926530612246
0,neel,seeqst,4,200,-1.7999999999999998,-2.3219999999999974,-0.5219999999999976,0.5219999999999976,102.50865929648239,53.537349246231116
0,neel,seeqst,4,800,-1.7999999999999998,-1.7898750000000154,0.010124999999984396,0.010124999999984396,86.2890963548185,45.71686034105114
1,ground_state,pauli,4,10,-2.6692860978479853,-0.399999999999999,2.2692860978479863,2.2692860978479863,15.289999999999985,23.62749999999998
1,ground_state,pauli,4,50,-2.6692860978479853,-2.2269999999999968,0.44228609784798856,0.44228609784798856,24.139919387755082,34.78510102040812
1,ground_state,pauli,4,200,-2.6692860978479853,-2.3957500000000076,0.2735360978479777,0.2735360978479777,27.801903957286413,32.85873486180905
1,ground_state,pauli,4,800,-2.6692860978479853,-2.481624999999977,0.18766109784800822,0.18766109784800822,28.702790847934896,33.381247176157835
1,ground_state,clifford,4,10,-2.6692860978479853,-0.46499999999999764,2.2042860978479877,2.2042860978479877,64.13391666666656,50.96836111111102
1,ground_state,clifford,4,50,-2.6692860978479853,-3.3379999999999965,-0.6687139021520112,0.6687139021520112,111.44311836734674,93.74511224489777
1,ground_state,clifford,4,200,-2.6692860978479853,-1.9439999999999964,0.7252860978479889,0.7252860978479889,96.59745125628123,92.25043379396965
1,ground_state,clifford,4,800,-2.6692860978479853,-2.4359375000000068,0.23334859784797857,0.23334859784797857,104.76586269946793,97.5397866356382
1,ground_state,seeqst,4,10,-2.6692860978479853,-1.310000000000001,1.3592860978479844,1.3592860978479844,10.87433333333333,4.861888888888887
1,ground_state,seeqst,4,50,-2.6692860978479853,-0.21799999999999997,2.4512860978479853,2.4512860978479853,84.99905714285713,46.284142857142854
1,ground_state,seeqst,4,200,-2.6692860978479853,-1.5054999999999965,1.1637860978479888,1.1637860978479888,76.45841180904523,44.71442638190965
1,ground_state,seeqst,4,800,-2.6692860978479853,-1.9715000000000087,0.6977860978479766,0.6977860978479766,89.10414292866082,49.06302590738451
1,neel,pauli,4,10,-1.7999999999999998,-2.7399999999999993,-0.9399999999999995,0.9399999999999995,40.75099999999998,28.956999999999976
1,neel,pauli,4,50,-1.7999999999999998,-2.583999999999998,-0.783999999999998,0.783999999999998,32.93371836734692,33.0224326530612
1,neel,pauli,4,200,-1.7999999999999998,-1.7710000000000066,0.028999999999993253,0.028999999999993253,37.1277226130653,30.920340075376863
1,neel,pauli,4,800,-1.7999999999999998,-1.7338749999999692,0.06612500000003063,0.06612500000003063,33.25519022215267,31.827978543491792
1,neel,clifford,4,10,-1.7999999999999998,-4.374999999999996,-2.5749999999999957,2.5749999999999957,161.0773611111109,121.72519444444426
1,neel,clifford,4,50,-1.7999999999999998,-1.382999999999996,0.4170000000000038,0.4170000000000038,127.43985816326509,88.61595204081615
1,neel,clifford,4,200,-1.7999999999999998,-1.6932499999999955,0.10675000000000434,0.10675000000000434,124.39051953517568,100.36409064070325
1,neel,clifford,4,800,-1.7999999999999998,-1.8388125000000066,-0.0388125000000068,0.0388125000000068,117.9201281249998,101.59522706117022
1,neel,seeqst,4,10,-1.7999999999999998,-1.9700000000000002,-0.17000000000000037,0.17000000000000037,231.68899999999996,107.36988888888891
1,neel,seeqst,4,50,-1.7999999999999998,1.4619999999999997,3.2619999999999996,3.2619999999999996,134.3379142857143,75.18749795918373
1,neel,seeqst,4,200,-1.7999999999999998,-1.464999999999999,0.33500000000000085,0.33500000000000085,106.74349246231154,56.13428492462314
1,neel,seeqst,4,800,-1.7999999999999998,-1.4578750000000178,0.342124999999982,0.342124999999982,103.87693415206508,54.60412717459341
