method,state_repeat,obs_repeat,state_type,n,num_observables,num_distinct_circuits,n_sample,rmse,mean_variance,max_error,coverage,mean_matches_per_observable
derandomized_seeqst,0,0,haar_random,10,100,98.0,10,1.005778308072073,,1.0378697386113795,0.1,0.1
derandomized_seeqst,0,0,haar_random,10,100,98.0,30,0.9860900807317047,0.6666666666666666,1.0471104179555237,0.27,0.3
derandomized_seeqst,0,0,haar_random,10,100,98.0,100,0.904846529214571,0.92,1.0855274511105304,0.7,1.04
derandomized_seeqst,0,0,haar_random,10,100,98.0,300,0.5578441695180897,1.1092063492063493,1.0532217763886784,0.96,3.11
derandomized_seeqst,0,0,haar_random,10,100,98.0,1000,0.33348531610134746,1.000693840215512,1.0386114068416104,1.0,10.42
derandomized_seeqst,0,0,haar_random,10,100,98.0,3000,0.18673749328016276,0.9965343384632829,0.41116290459623306,1.0,31.15
derandomized_seeqst,0,0,haar_random,10,100,98.0,10000,0.09341364642007616,0.9999566405092161,0.2703019659961962,1.0,104.05
derandomized_seeqst,0,0,haar_random,10,100,98.0,20000,0.06378919889290449,1.000400468043786,0.14001074357177065,1.0,208.05
derandomized_seeqst,0,0,haar_random,10,100,98.0,30000,0.052367334158964315,0.9998804268451877,0.14277843035002802,1.0,311.91
derandomized_seeqst,0,0,haar_random,10,100,98.0,40000,0.04974323321927741,0.9994062639691434,0.13151033645347504,1.0,415.86
derandomized_seeqst,0,0,haar_random,10,100,98.0,50000,0.04449369640559452,0.9992962067869403,0.10598047429127334,1.0,519.89
random_seeqst,0,0,haar_random,10,100,,10,20.478547723766276,4194.304000000001,204.78527451566828,1.0,10.0
random_seeqst,0,0,haar_random,10,100,,30,6.82525494333843,1398.101333333332,68.25194118233493,1.0,30.0
random_seeqst,0,0,haar_random,10,100,,100,4.092640208408032,1677.721599999999,20.51786973861138,1.0,100.0
random_seeqst,0,0,haar_random,10,100,,300,2.551360988162743,1957.3418666666541,6.869962204596664,1.0,300.0
random_seeqst,0,0,haar_random,10,100,,1000,1.4906458651415078,2222.9811200000154,4.092677384341267,1.0,1000.0
random_seeqst,0,0,haar_random,10,100,,3000,0.9019880507082734,2208.9161926152847,2.7156206903167814,1.0,3000.0
random_seeqst,0,0,haar_random,10,100,,10000,0.4320127196276394,2076.1989367832352,1.3864895820444763,1.0,10000.0
random_seeqst,0,0,haar_random,10,100,,20000,0.330662001947051,2009.0611297159332,0.8234886586252363,1.0,20000.0
random_seeqst,0,0,haar_random,10,100,,30000,0.2807588590196814,2038.417855730845,0.7075507833841119,1.0,30000.0
random_seeqst,0,0,haar_random,10,100,,40000,0.2297190962394633,1993.3378902794523,0.7243552774408796,1.0,40000.0
random_seeqst,0,0,haar_random,10,100,,50000,0.20300287352784,1998.1638418576695,0.5710174500507785,1.0,50000.0
derandomized_seeqst,0,1,haar_random,10,100,99.0,10,0.9993214853509461,,1.059665109457549,0.1,0.1
derandomized_seeqst,0,1,haar_random,10,100,99.0,30,0.9623799150571669,1.3333333333333333,1.0686300253816383,0.27,0.3
derandomized_seeqst,0,1,haar_random,10,100,99.0,100,0.7839149481166765,1.3777777777777778,1.071068240950003,0.61,1.0
derandomized_seeqst,0,1,haar_random,10,100,99.0,300,0.6534895484133164,0.9886178861788617,1.059665109457549,0.96,3.05
derandomized_seeqst,0,1,haar_random,10,100,99.0,1000,0.35055468950943264,0.9900398251559243,1.0208462541305086,1.0,10.2
derandomized_seeqst,0,1,haar_random,10,100,99.0,3000,0.18214404855964994,0.9998100548108602,0.5610386109639681,1.0,30.58
derandomized_seeqst,0,1,haar_random,10,100,99.0,10000,0.0934956751243435,1.0008157371540856,0.22932582480331395,1.0,101.89
derandomized_seeqst,0,1,haar_random,10,100,99.0,20000,0.06807493774282472,0.9996542747038208,0.14563738200603582,1.0,203.93
derandomized_seeqst,0,1,haar_random,10,100,99.0,30000,0.05603960480705066,0.999394217983084,0.15295988135160068,1.0,305.87
derandomized_seeqst,0,1,haar_random,10,100,99.0,40000,0.048246958884107696,0.9994503852877408,0.1357581611795835,1.0,407.7
derandomized_seeqst,0,1,haar_random,10,100,99.0,50000,0.044094175475254765,0.9993385398586939,0.1364231403603371,1.0,509.36
random_seeqst,0,1,haar_random,10,100,,10,0.03003917445295642,0.0,0.07656716625288938,1.0,10.0
random_seeqst,0,1,haar_random,10,100,,30,0.03003917445295642,0.0,0.07656716625288938,1.0,30.0
random_seeqst,0,1,haar_random,10,100,,100,2.8981989158586514,838.8607999999999,20.528995422289,1.0,100.0
random_seeqst,0,1,haar_random,10,100,,300,2.158015066397737,1398.1013333333256,6.895296692048305,1.0,300.0
random_seeqst,0,1,haar_random,10,100,,1000,1.3739124524866981,2391.257100300313,4.092511269241863,1.0,1000.0
random_seeqst,0,1,haar_random,10,100,,3000,0.7978238794018802,2474.8258356696256,2.6819000185092765,1.0,3000.0
random_seeqst,0,1,haar_random,10,100,,10000,0.38665110853740864,2210.467001464917,1.038105941765197,1.0,10000.0
random_seeqst,0,1,haar_random,10,100,,20000,0.3145674501108177,2032.1407074516694,0.8259547896051712,1.0,20000.0
random_seeqst,0,1,haar_random,10,100,,30000,0.25853570320214153,2023.0521632843854,0.7576881229385045,1.0,30000.0
random_seeqst,0,1,haar_random,10,100,,40000,0.22038916270906483,2018.5089572905533,0.5699547896051712,1.0,40000.0
random_seeqst,0,1,haar_random,10,100,,50000,0.19192046365704163,2026.690612094538,0.6211547896051711,1.0,50000.0
derandomized_seeqst,0,2,haar_random,10,100,98.0,10,1.0139512237886341,,1.0426438465918337,0.11,0.11
derandomized_seeqst,0,2,haar_random,10,100,98.0,30,1.003990950418165,0.0,1.0426438465918337,0.28,0.32
derandomized_seeqst,0,2,haar_random,10,100,98.0,100,0.8663549433594459,0.9784946236559139,1.0865708745650098,0.65,1.04
derandomized_seeqst,0,2,haar_random,10,100,98.0,300,0.6743314403681501,0.97195097448262,1.040000768029788,0.98,3.14
derandomized_seeqst,0,2,haar_random,10,100,98.0,1000,0.3292070952431487,0.9958399682189154,1.016461437156785,1.0,10.42
derandomized_seeqst,0,2,haar_random,10,100,98.0,3000,0.1897142533419379,0.9954073811344955,0.5523996883075903,1.0,31.26
derandomized_seeqst,0,2,haar_random,10,100,98.0,10000,0.09854460009228326,0.9978348667861607,0.2425461116629459,1.0,103.88
derandomized_seeqst,0,2,haar_random,10,100,98.0,20000,0.06914019830106852,0.9981046514435736,0.17469870680166705,1.0,207.8
derandomized_seeqst,0,2,haar_random,10,100,98.0,30000,0.05627993407854768,0.9981159299594233,0.1386995965711826,1.0,311.61
derandomized_seeqst,0,2,haar_random,10,100,98.0,40000,0.04351909451753951,0.9988906677638876,0.10596744776359505,1.0,415.54
derandomized_seeqst,0,2,haar_random,10,100,98.0,50000,0.04130819532598923,0.9986770295867682,0.11569617679487812,1.0,519.26
random_seeqst,0,2,haar_random,10,100,,10,0.03195959911220272,0.0,0.10197836953051231,1.0,10.0
random_seeqst,0,2,haar_random,10,100,,30,6.8315075556464695,1398.1013333333324,68.314344612786,1.0,30.0
random_seeqst,0,2,haar_random,10,100,,100,5.418384510841913,2936.0127999999986,20.527677946119336,1.0,100.0
random_seeqst,0,2,haar_random,10,100,,300,2.814301498547741,2376.772266666651,6.874344612786003,1.0,300.0
random_seeqst,0,2,haar_random,10,100,,1000,1.549267379706272,2306.783229949976,4.181418008260826,1.0,1000.0
random_seeqst,0,2,haar_random,10,100,,3000,0.8929350534560841,2139.0204497320847,2.7605779695804933,1.0,3000.0
