state_type,method,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,coverage_mean,mean_matches_per_observable_mean,num_state_repeats,num_observable_repeats
ghz,derandomized_seeqst,10,0.9832365088825586,0.03191391956609538,1.0333333333333334,0.9238837879090929,1.0,0.0,0.09939999999999999,0.1052,10,10
ghz,derandomized_seeqst,30,0.9577492725736866,0.030582005874537254,1.0085714285714287,0.5749051932078514,1.0,0.0,0.2692,0.3159,10,10
ghz,derandomized_seeqst,100,0.8667173565407995,0.028569872337321063,1.0048378509828084,0.16739350833641822,1.0,0.0,0.6485,1.0523,10,10
ghz,derandomized_seeqst,300,0.6469133894081877,0.032035547704583354,0.9985560612483972,0.07076387514522556,1.0,0.0,0.9533,3.1527999999999996,10,10
ghz,derandomized_seeqst,1000,0.3289646299334491,0.024019595285970193,1.0006934578865403,0.01916074722478469,0.9358874458874459,0.1080149094903365,1.0,10.5078,10,10
ghz,derandomized_seeqst,3000,0.18200781088663323,0.01264097075584851,0.9995387435608556,0.005400805444031513,0.5075330714256999,0.06897100487121724,1.0,31.5079,10,10
ghz,derandomized_seeqst,10000,0.09767490463423462,0.006121458230885619,0.9994620825680492,0.0029067651737139186,0.2728036996085421,0.040883039592816015,1.0,105.0419,10,10
ghz,derandomized_seeqst,20000,0.06901843907530127,0.004745287813530847,0.999309074005162,0.0027641300818259844,0.18982663571725758,0.026291007024189725,1.0,210.1138,10,10
ghz,derandomized_seeqst,30000,0.056965981663710884,0.003952005446337484,0.9991972015959383,0.0027561177408847613,0.15676180560918931,0.019346624792784987,1.0,315.2032,10,10
ghz,derandomized_seeqst,40000,0.0494147077708353,0.003437129812679575,0.9991878997410342,0.0027153116717378344,0.13625130697016283,0.017961497013023225,1.0,420.2869,10,10
ghz,derandomized_seeqst,50000,0.04436840139351048,0.003181572608250562,0.9991735032924801,0.0026930061039986955,0.12379022551234556,0.018555714675085714,1.0,525.3578,10,10
ghz,random_seeqst,10,7.06438845746709,10.515895026294539,1593.836764444445,2513.757261977228,65.554,96.0032527016295,1.0,10.0,10,10
ghz,random_seeqst,30,6.6292515088183155,4.48339082104846,1915.4001508045963,1622.3799430728834,49.834666666666664,30.460316558573144,1.0,30.0,10,10
ghz,random_seeqst,100,4.340216420000939,1.2329658369578995,1991.8720956767665,1033.2072910708164,22.1184,6.297240492325334,1.0,100.0,10,10
ghz,random_seeqst,300,2.6408990160941177,0.35312788022334535,2092.8374689765787,520.4184958741191,9.6256,3.5112265317942333,1.0,300.0,10,10
ghz,random_seeqst,1000,1.4256224768523111,0.15073087493968207,2058.9893288836984,326.5962811624282,4.44416,0.7731715442045682,1.0,1000.0,10,10
ghz,random_seeqst,3000,0.825581839074411,0.06098171472056709,2062.902152295879,171.28491526324777,2.4712533333333333,0.47316435813489055,1.0,3000.0,10,10
ghz,random_seeqst,10000,0.4553414415254194,0.029796354830157894,2065.9878606531474,97.21930796154943,1.292288,0.20520299743808762,1.0,10000.0,10,10
ghz,random_seeqst,20000,0.3223011202029523,0.022892022626261953,2058.2285484113186,64.20927802927093,0.923648,0.14480084022302125,1.0,20000.0,10,10
ghz,random_seeqst,30000,0.2617090881577753,0.020244597701556753,2050.190343899698,55.11715317955016,0.7468373333333334,0.12681641062591384,1.0,30000.0,10,10
ghz,random_seeqst,40000,0.22422744591295313,0.017404035425573783,2050.0413056139096,46.76252758320013,0.62208,0.09100201795964347,1.0,40000.0,10,10
ghz,random_seeqst,50000,0.20017784440908315,0.01575165705097137,2049.1374016737313,41.30073283241367,0.55296,0.08014232834101585,1.0,50000.0,10,10
haar_random,derandomized_seeqst,10,0.9873878052925646,0.027796480629141928,0.7752525252525253,0.8893695846117752,1.0481758627517153,0.019773931153188692,0.0989,0.10460000000000001,10,10
haar_random,derandomized_seeqst,30,0.9575673693351732,0.029303931785059134,0.9698412698412698,0.5194204443912142,1.0620639573954143,0.015600074913934486,0.26780000000000004,0.31329999999999997,10,10
haar_random,derandomized_seeqst,100,0.8670540041545347,0.031374182374845606,1.0021826360831148,0.1764338244048503,1.0682785038978337,0.014498537364772017,0.6454000000000001,1.045,10,10
haar_random,derandomized_seeqst,300,0.643669240368058,0.032979223477127444,1.001770549943793,0.0726585817968341,1.0616402296238276,0.015207558050391356,0.9536,3.1389,10,10
haar_random,derandomized_seeqst,1000,0.33216141212864875,0.021057913258848246,0.9982342849623201,0.017319515840044673,0.9457174816692211,0.10765973964448625,1.0,10.464300000000001,10,10
